专业代号及名称,院校代号及名称,投档计划数,投档最低位次
07新闻学,A812吕梁学院,5,176117
22新闻学,D673四川外国语大学成都学院,2,182334
A2新闻学,D903成都锦城学院,2,187790
06新闻学,A242哈尔滨体育学院,7,190182
50新闻传播学类,D637温州商学院,1,190632
25新闻学,C649湖南科技大学潇湘学院,1,192418
41新闻传播学类,C784河北传媒学院,5,192832
07新闻学(校企合作，与山东泰冠实业有限公司合作),A457山东体育学院,40,197379
E0新闻学,D561新疆科技学院,6,201814
08新闻学,E199内蒙古大学创业学院,1,203598
08新闻学,B400西安培华学院,2,203755
12新闻学,E654郑州西亚斯学院,5,204698
0L新闻学,D999山东财经大学东方学院,10,207184
0G新闻学,D441江西财经大学现代经济管理学院,2,208405
0D新闻学,D253武汉体育学院体育科技学院,4,208664
06新闻学,D429南昌大学科学技术学院,2,208871
17新闻学,D659天津传媒学院,5,213019
07新闻学,D215辽宁师范大学海华学院,1,214222
26新闻学,D188武汉晴川学院,2,214673
0J新闻学,E002烟台科技学院,65,214692
41新闻学,C713西安外事学院,3,216524
13新闻学,D242武汉工商学院,4,219824
04新闻学,D359烟台理工学院,48,220443
0G新闻传播学类,D641桂林学院,4,221853
22新闻学,B784仰恩大学,5,222091
30新闻学,B446黑龙江东方学院,5,224562
03新闻学,E000潍坊理工学院,100,229035
02新闻学,D957辽宁传媒学院,5,229130
13新闻学,D600长春光华学院,4,231856
0H新闻学,D998齐鲁理工学院,63,234104
1A新闻学(网络新媒体),C308海口经济学院,3,238986
44软件工程(传媒大数据),B647浙江传媒学院,3,51566
53环境科学与工程类,A353浙江工商大学,6,51571
5X自动化,B660重庆理工大学,2,51577
29计算机类,A427济南大学,93,51578
27学前教育(师范类),A390集美大学,2,51579
34外国语言文学类,A618重庆交通大学,3,51581
37工程力学,A703西安建筑科技大学,2,51595
43电气工程及其自动化,A212黑龙江大学,2,51601
79土木类,B078广州大学,6,51621
26飞行器动力工程,A618重庆交通大学,3,51628
50土木工程,A108山西大学,5,51635
31电子信息工程,A705西安石油大学,2,51640
13翻译,A536长沙理工大学,2,51669
75临床医学,A464河南科技大学,11,51674
42数学与应用数学(师范类),A736西北师范大学,3,51682
29会计学,B660重庆理工大学,4,51687
47通信工程,A705西安石油大学,1,51699
51计算机类,A637重庆师范大学,5,51703
19物联网工程,A702西安工业大学,4,51706
69物流管理,A755新疆大学,2,51723
1E高分子材料与工程,A346杭州师范大学,6,51738
24护理学,A572广州中医药大学,3,51740
22电子信息类(教育部卓越工程师、省支柱产业人才培养计划),A489长江大学,4,51743
18生物技术,A598广西医科大学,2,51764
55翻译,A856上海工程技术大学,3,51768
27计算机类,A538中南林业科技大学,3,51770
09机器人工程,A424山东科技大学,44,51791
0C工商管理类(地方专项计划),A445山东师范大学,10,51798
0B卫生检验与检疫,A660贵州医科大学,1,51809
52临床医学,A694西藏大学,1,51814
0X医学影像学,A439山东第一医科大学,175,51822
49机械设计制造及其自动化,A304南通大学,3,51840
5E工业设计,A341浙江农林大学,2,51843
5J智能科学与技术,A341浙江农林大学,2,51844
36数据科学与大数据技术,B799重庆工商大学,2,51848
19财务管理,A636四川师范大学,2,51860
4H信息管理与信息系统(中外合作办学),A264上海海洋大学,15,51879
66日语,A390集美大学,3,51898
7S交通工程,A755新疆大学,6,51904
21数字经济,A390集美大学,3,51919
5N遥感科学与技术,A755新疆大学,4,51928
34国际经济与贸易,A057天津科技大学,3,51929
0Q材料成型及控制工程,A143沈阳航空航天大学,2,51936
0B工程力学,A143沈阳航空航天大学,2,51947
22电子信息工程,B799重庆工商大学,3,51955
43翻译,A057天津科技大学,5,51978
28计算机科学与技术,B258大连大学,3,51979
1Z数学与应用数学,B065青岛大学,111,51997
64物流管理,A065天津师范大学,3,52000
15自动化,A702西安工业大学,3,52022
14航空航天类,A110中北大学,10,52033
05针灸推拿学,A507湖北中医药大学,3,52067
0T会展经济与管理(中外合作办学)(中英合作),A252上海理工大学,3,52085
A9儿科学,A752宁夏医科大学,2,52091
24工程造价,A636四川师范大学,2,52111
C1机械设计制造及其自动化,A186长春理工大学,5,52113
01经济学(实验班),A037北京物资学院,1,52146
39通信工程,B276南京工程学院,2,52160
59数学与应用数学,A390集美大学,3,52164
28电子封装技术,A856上海工程技术大学,4,52165
93信息与计算科学,A188东北电力大学,3,52175
1Z财政学类,A456山东财经大学,135,52206
15国际经济与贸易,A304南通大学,2,52213
Z3土木工程(中外合作办学),A151大连海事大学,8,52227
0T物流管理,A059中国民航大学,4,52238
33口腔医学,A352丽水学院,2,52255
3K能源化学工程,A755新疆大学,2,52256
31土木工程,A289江苏科技大学,6,52279
0Q德语,B065青岛大学,26,52293
0J地理科学类,A414江西师范大学,17,52299
25小学教育(师范类),A304南通大学,4,52327
17海洋科学类,A057天津科技大学,4,52342
1B信息与计算科学,A759石河子大学,6,52343
19能源与动力工程,A188东北电力大学,19,52361
14教育学类,A524中南民族大学,7,52369
72城市地下空间工程,A536长沙理工大学,2,52374
27生物制药,A114山西医科大学,3,52375
27地质学,A705西安石油大学,1,52397
38公共事业管理,A057天津科技大学,5,52400
30朝鲜语,A065天津师范大学,1,52418
38日语(商务方向),A421江西财经大学,1,52422
5J高分子材料与工程,A755新疆大学,5,52448
29环境工程,A216燕山大学,4,52455
0D自动化类,A404华东交通大学,10,52459
23计算机科学与技术,A110中北大学,8,52491
42知识产权,B660重庆理工大学,2,52521
01经济学,A125山西财经大学,3,52555
7B生物科学(师范类),A231哈尔滨师范大学,3,52559
10法学,A424山东科技大学,94,52562
25法语,A370安徽师范大学,2,52577
0T德语,A488武汉科技大学,4,52580
0D经济学类,A456山东财经大学,210,52604
47给排水科学与工程,A536长沙理工大学,2,52632
51软件工程,A212黑龙江大学,2,52658
09康复治疗学,A507湖北中医药大学,2,52663
0M材料类,A490武汉工程大学,3,52678
0F材料类,A488武汉科技大学,18,52705
26计算机类,A489长江大学,8,52719
0V测控技术与仪器,A406南昌航空大学,4,52729
2A土木工程,A107石家庄铁道大学,8,52732
0D交通运输类,A107石家庄铁道大学,10,52752
1S机械工程,B065青岛大学,62,52773
2B数学与应用数学,A424山东科技大学,47,52778
D9机械类,H414中国石油大学(北京)克拉玛依校区,18,52779
B6生物科学(中外合作办学)(与爱尔兰都柏林大学合作办学),A564华南农业大学,2,52792
1X旅游管理类,A475河南大学,5,52797
32软件工程,A370安徽师范大学,2,52808
13财务管理,A484河南财经政法大学,2,52828
46工程管理,A536长沙理工大学,2,52835
33数据科学与大数据技术,A489长江大学,2,52837
02财务管理(中外合作办学),F301宁波诺丁汉大学,13,52850
0Q土木工程(中外合作办学),A217哈尔滨工程大学,7,52859
58新能源材料与器件,A743青海大学,8,52865
0R物理学,A636四川师范大学,4,52876
12能源与动力工程,A674昆明理工大学,3,52877
42电子信息科学与技术,A534湖南科技大学,1,52880
06针灸推拿学(针刀方向),A507湖北中医药大学,3,52915
35化学,A212黑龙江大学,2,52929
0R地理科学,A427济南大学,40,52931
2A国际经济与贸易(地方专项计划),A445山东师范大学,3,52942
34化学类(中外合作办学),F302西交利物浦大学,2,52943
0P财政学,B065青岛大学,29,52952
23轻化工程,A057天津科技大学,4,52962
32电子信息类(中外合作办学),F302西交利物浦大学,37,52966
19大数据管理与应用,A037北京物资学院,1,52991
18数学类,A708陕西科技大学,3,53017
02能源与动力工程,A214哈尔滨理工大学,2,53027
16工程管理,A703西安建筑科技大学,2,53043
04针灸推拿学,A541湖南中医药大学,3,53046
84城乡规划,A674昆明理工大学,2,53049
0Y电气工程及其自动化,A636四川师范大学,2,53066
12材料成型及控制工程,A150大连交通大学,2,53077
0J电子信息类,A107石家庄铁道大学,3,53100
01土木类,A618重庆交通大学,6,53117
0K人工智能,A153沈阳建筑大学,1,53119
11电气工程及其自动化,B632沈阳工程学院,4,53134
86中医学,A081华北理工大学,3,53135
0J油气储运工程(机场供油工程),A059中国民航大学,5,53144
25飞行器制造工程,A618重庆交通大学,3,53148
15生物工程,A390集美大学,3,53162
27中医康复学,A541湖南中医药大学,1,53171
22土木工程,A560汕头大学,4,53179
9N机械设计制造及其自动化(中外合作办学),A657贵州大学,7,53207
29法学,B560西安财经大学,4,53214
06医学影像技术,A344浙江中医药大学,1,53246
62医学检验技术,A081华北理工大学,3,53247
C4俄语,H414中国石油大学(北京)克拉玛依校区,4,53252
11药学,A541湖南中医药大学,4,53253
32化学(师范类),A534湖南科技大学,2,53257
2E能源与动力工程(地方专项计划),B065青岛大学,10,53260
L5数据科学与大数据技术,B258大连大学,3,53268
04水利类,A618重庆交通大学,4,53272
1H材料科学与工程,A755新疆大学,2,53274
1B金融学类(济南走读),Y014山东财经大学,25,53275
18建筑类,A618重庆交通大学,3,53284
50生物技术,A743青海大学,2,53290
0H人工智能,A404华东交通大学,5,53293
11法学,A456山东财经大学,150,53310
40会展经济与管理,B647浙江传媒学院,2,53318
05工商管理类,B799重庆工商大学,5,53342
08材料物理(无损检测与表面工程),A059中国民航大学,5,53345
2K国际经济与贸易(中外合作办学)(与澳大利亚维多利亚大学合作办学),A475河南大学,5,53350
06旅游管理,A108山西大学,3,53354
11法学类,A489长江大学,2,53355
1Y工业设计,B065青岛大学,23,53369
A1资源勘查工程,H414中国石油大学(北京)克拉玛依校区,9,53382
A4计算机科学与技术(中外合作办学),A060天津理工大学,15,53384
0E阿拉伯语,A749宁夏大学,3,53396
2Y化学工程与工艺,B065青岛大学,32,53401
1X城乡规划,A755新疆大学,2,53435
2V会计学,A759石河子大学,4,53436
DB环境工程,H414中国石油大学(北京)克拉玛依校区,3,53458
0A计算机类,A094河北师范大学,11,53466
32化工与制药类,B799重庆工商大学,2,53482
02经济与贸易类,B799重庆工商大学,2,53483
41机器人工程,A304南通大学,4,53487
39外国语言文学类(中外合作办学),F302西交利物浦大学,10,53491
22工业设计,A655四川美术学院,2,53505
14储能科学与工程,A674昆明理工大学,2,53520
1Z地理科学(师范类),A118山西师范大学,2,53534
1C小学教育(师范类),A414江西师范大学,5,53553
10财政学,A125山西财经大学,2,53557
92数学与应用数学,A188东北电力大学,4,53562
73人力资源管理,A212黑龙江大学,2,53568
52会计学,A188东北电力大学,10,53579
4F生物技术,A341浙江农林大学,2,53584
0L日语,A636四川师范大学,2,53592
42金融学,A674昆明理工大学,3,53633
49自动化,A212黑龙江大学,2,53661
40高分子材料与工程,A704西安科技大学,2,53673
06教育学类(师范类),A489长江大学,4,53696
10城乡规划,A704西安科技大学,2,53714
03法学,A378安徽财经大学,6,53718
04金融学(期货与证券实验班),A037北京物资学院,2,53728
N5法学,A186长春理工大学,2,53733
11工商管理类,A524中南民族大学,4,53740
1X中国语言文学类(师范类),A427济南大学,110,53759
28俄语,A065天津师范大学,2,53784
08海洋工程类,A289江苏科技大学,6,53788
14车辆工程,E655深圳技术大学,2,53840
51会计学,B276南京工程学院,2,53841
A3微电子科学与工程,A186长春理工大学,4,53848
10土木工程(卓越计划班),A732兰州交通大学,2,53893
06口腔医学,A117长治医学院,1,53899
1K经济学,B065青岛大学,57,53917
3D化学工程与工艺(地方专项计划),A445山东师范大学,7,53950
53集成电路设计与集成系统,A304南通大学,5,53955
18西班牙语,A212黑龙江大学,2,53973
1A电子商务,A621成都信息工程大学,2,54001
01交通运输,A390集美大学,3,54011
09会计学,C050上海商学院,4,54013
47工程管理,A700西安理工大学,4,54017
08食品科学与工程,A340浙江海洋大学,2,54025
F1外国语言文学类,B075三峡大学,2,54032
18环境科学与工程类,A057天津科技大学,4,54044
0K机器人工程,B417北京联合大学,3,54056
0G建筑电气与智能化,A153沈阳建筑大学,1,54072
29软件工程(中外合作办学),A617重庆邮电大学,15,54085
13光电信息科学与工程,A702西安工业大学,3,54099
75金融学,B075三峡大学,4,54108
48智慧农业,A341浙江农林大学,2,54116
15统计学(中外合作办学)(2加2),F301宁波诺丁汉大学,4,54120
W4中药学类,A163沈阳药科大学,8,54131
0C建筑环境与能源应用工程,A153沈阳建筑大学,1,54150
2B应用物理学,B065青岛大学,66,54154
1P中医学,A441山东中医药大学,124,54161
22工业工程,A289江苏科技大学,3,54166
17建筑类,A538中南林业科技大学,2,54192
03工商管理类,A069天津商业大学,4,54194
73经济学,A534湖南科技大学,2,54245
14车辆工程,A704西安科技大学,2,54252
14俄语,E275浙江外国语学院,2,54255
04临床医学,A199长春中医药大学,6,54258
27管理科学与工程类,A618重庆交通大学,3,54266
37建筑类(中外合作办学),F302西交利物浦大学,13,54334
32车辆工程,A674昆明理工大学,3,54348
0A智能制造工程,A153沈阳建筑大学,1,54355
38土木类(中外合作办学),F302西交利物浦大学,2,54396
14税收学,A125山西财经大学,2,54400
06经济学类(地方专项计划),A456山东财经大学,10,54414
15市场营销,A299江苏大学,3,54437
30环境工程,A150大连交通大学,3,54477
12金融学,A424山东科技大学,37,54479
8E旅游管理,A755新疆大学,4,54508
43能源化学工程,A704西安科技大学,4,54512
31地质工程,A704西安科技大学,2,54523
47地理信息科学,A370安徽师范大学,2,54524
30人工智能,A370安徽师范大学,2,54533
