专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0G动物药学,A193吉林农业大学,2,124443
13药物制剂,A441山东中医药大学,50,125128
12药学,A679大理大学,6,125137
12中药资源与开发,A680云南中医药大学,1,125325
32药学,A240哈尔滨商业大学,4,125385
0K制药工程,A413赣南医学院,2,125427
07制药工程(地方专项计划),A433山东理工大学,10,125933
35生物制药,A622四川轻化工大学,3,126198
C2动物药学,A410江西农业大学,2,126328
0V药学,D437南昌医学院,2,126921
16药物分析,A262上海健康医学院,5,126923
1J制药工程,A433山东理工大学,81,127267
2B化工与制药类(地方专项计划),A431齐鲁工业大学,15,127637
18药学,A809山西中医药大学,3,127689
08制药工程(地方专项计划),A441山东中医药大学,10,128300
K3生物制药,A061天津农学院,1,128967
M2制药工程,A410江西农业大学,6,130372
09中药学,E432河北中医学院,3,131851
0E药学类,B230齐齐哈尔医学院,1,132206
D5制药工程,A149沈阳化工大学,3,132372
19中药制药,A735甘肃中医药大学,2,132439
3E制药工程(校企合作，与鲁南制药集团合作),A427济南大学,30,132953
C4动物药学,A061天津农学院,2,133054
14药学,A435青岛农业大学,70,133500
1W化工与制药类,A596桂林理工大学,4,134562
0J药学,A367蚌埠医学院,5,135191
31制药工程,A240哈尔滨商业大学,5,135332
14中药资源与开发,A441山东中医药大学,21,135710
0F药学(地方专项计划),A447聊城大学,5,135830
36生物制药,B077长沙学院,2,137285
0D药学,A440滨州医学院,176,137650
80药物分析,A691云南民族大学,2,137839
31药学,A452临沂大学,38,138735
26中药资源与开发,A809山西中医药大学,2,139290
07中药学类,A193吉林农业大学,7,139879
0P中药学,A452临沂大学,26,139881
12药物制剂,A228黑龙江中医药大学,10,140289
13临床药学,A760新疆医科大学,14,140743
0Q制药工程,A441山东中医药大学,127,141039
3H化工与制药类(济南走读),Y016济南大学,25,141487
35化学工程与工艺(校企合作，与山东金城制药集团合作),A427济南大学,35,142376
0M药学,A438潍坊医学院,135,142454
2Y药学,A447聊城大学,75,142479
33中药学,A240哈尔滨商业大学,6,142578
1K化工与制药类,A439山东第一医科大学,125,142905
17中药资源与开发,A735甘肃中医药大学,1,142977
06药学,D706吉林医药学院,2,144127
09制药工程,A435青岛农业大学,75,144338
11制药工程,A642重庆文理学院,2,144705
0X制药工程,A452临沂大学,25,145220
11中草药栽培与鉴定,A441山东中医药大学,23,145731
0S中药学,A443济宁医学院,23,147083
0B制药工程,A672贵州民族大学,2,147658
1B中药学,A438潍坊医学院,50,147718
12药学,A760新疆医科大学,12,147756
17制药工程,A192吉林化工学院,1,148303
25中药资源与开发(地方专项计划),A441山东中医药大学,10,148861
08中药学,D706吉林医药学院,2,148919
