专业代号及名称,院校代号及名称,投档计划数,投档最低位次
J1应用统计学,A186长春理工大学,7,78584
28统计学,A373淮北师范大学,1,79101
82经济统计学,A081华北理工大学,9,79573
16统计学,A464河南科技大学,5,80679
24统计学类,B832河北经贸大学,6,81607
0G应用统计学,A076河北工程大学,2,88437
0G统计学,A446曲阜师范大学,98,91478
1P应用统计学,A689云南财经大学,4,91518
0P应用统计学,A446曲阜师范大学,34,94804
2G应用统计学,A431齐鲁工业大学,50,96394
36统计学,C026大连民族大学,2,96678
0Y统计学(中外合作办学),A456山东财经大学,100,98448
43统计学,A736西北师范大学,2,98606
03统计学,B066烟台大学,75,98628
3Q经济统计学,A741兰州财经大学,3,100017
1H统计学,A363安徽工程大学,3,101575
35应用统计学(中外合作办学),A378安徽财经大学,2,103398
0B统计学,A451鲁东大学,63,107355
0R统计学,A741兰州财经大学,3,109575
0J应用统计学,A109太原科技大学,2,110631
1G统计学,A433山东理工大学,50,110862
32应用统计学,A741兰州财经大学,3,111013
JT经济统计学,B406甘肃政法大学,1,112009
A2统计学,A190长春工业大学,3,112567
22统计学,A671贵州财经大学,3,115449
19应用统计学,E436江苏第二师范学院,5,115764
H4经济统计学,A201北华大学,4,116546
06统计学,A240哈尔滨商业大学,7,119915
33经济统计学,A154辽宁工业大学,2,120449
1Q应用统计学,A430山东建筑大学,47,120936
H5统计学,A201北华大学,5,123754
57应用统计学,A220东北石油大学,5,129638
08统计学,A452临沂大学,40,131665
19统计学,E437南昌师范学院,1,134791
T4统计学(赴南方科技大学交流),A746青海师范大学,3,136283
30统计学类,B407北方民族大学,1,137945
F2应用统计学,A129内蒙古农业大学,2,138923
1D统计学,A440滨州医学院,22,151083
1J应用统计学,B104华北科技学院,10,154346
0T应用统计学,B688山东工商学院,36,157180
15应用统计学,A482洛阳师范学院,6,159214
13经济统计学,B688山东工商学院,29,159964
0U应用统计学,B319南昌工程学院,2,161716
39应用统计学,A408景德镇陶瓷大学,2,163106
44经济统计学,A139内蒙古财经大学,6,163130
27应用统计学,E390陕西学前师范学院,2,164412
06统计学,A766新疆财经大学,6,164928
11应用统计学,B067潍坊学院,36,167372
05经济统计学,A766新疆财经大学,6,167573
2G应用统计学,A733甘肃农业大学,5,168254
06统计学,A483商丘师范学院,2,171970
G2应用统计学,B528湖南工学院,2,172013
0M经济统计学,A449滨州学院,32,175578
12经济统计学,E207上海财经大学浙江学院,2,175796
10统计学,A748青海民族大学,2,177027
31应用统计学,A084河北建筑工程学院,2,177960
88应用统计学,A762新疆师范大学,8,178739
0L统计学,E223贵州师范学院,3,184076
17统计学,B397安康学院,2,185420
54统计学,A481南阳师范学院,10,186507
0M经济统计学,A904枣庄学院,40,187897
B4统计学,A206白城师范学院,3,190438
0M统计学(校企合作，与青岛英谷教育科技公司合作),B688山东工商学院,60,192032
20应用统计学,A122长治学院,2,194557
1W应用统计学,A454济宁学院,50,195895
26应用统计学,A478周口师范学院,2,196550
K3应用统计学,A687红河学院,3,197360
1Q应用统计学(校企合作，与青岛英谷教育科技公司合作),B067潍坊学院,75,200967
09经济统计学,D290浙江工商大学杭州商学院,2,201506
1M统计学(校企合作，与北京中科特瑞科技公司合作),A455菏泽学院,50,203975
04经济统计学,A763喀什大学,20,206253
36统计学,A763喀什大学,14,207039
2Q应用统计学,A763喀什大学,12,207207
31应用统计学,D675北京理工大学珠海学院,2,207714
45统计学(非师范),A753宁夏师范学院,3,207845
U1应用统计学,A764伊犁师范大学,10,208637
10应用统计学,D290浙江工商大学杭州商学院,3,211224
D5经济统计学,D903成都锦城学院,3,214239
31经济统计学(数据工程),E087天津财经大学珠江学院,14,217454
03应用统计学(国际班),D675北京理工大学珠海学院,5,229273
0R经济统计学,D320青岛黄海学院,29,241560
