专业代号及名称,院校代号及名称,投档计划数,投档最低位次
61公共管理类,A635西南大学,2,18270
4L管理科学与工程类,A255东华大学,4,18366
0L公共事业管理,A652西南政法大学,2,18626
45信息资源管理,A511华中师范大学,2,18634
20信息管理与信息系统,B414中国石油大学(北京),4,18678
0S工商管理类(威海走读),Y011山东大学威海分校,7,18805
52文化产业管理,A559暨南大学,2,19001
F3土地资源管理,A635西南大学,1,19122
33财务管理,A386福州大学,2,19153
5A工商管理类,A022北京林业大学,10,19336
43信息管理与信息系统,A022北京林业大学,3,19347
27信息管理与信息系统(管理信息方向),A022北京林业大学,2,19470
56工商管理类,B415中国地质大学(北京),2,19472
24工商管理,A590深圳大学,2,19488
1J工商管理类(新文科经管法),A010北京化工大学,13,19548
52农林经济管理(卓越班),A712西北农林科技大学,4,19565
53大数据管理与应用,A295江南大学,4,19611
Z4工商管理(常州校区),A294河海大学,2,19928
44管理科学与工程类,A511华中师范大学,5,19975
21公共事业管理(卫生管理),A025首都医科大学,2,20055
P3土地资源管理,A294河海大学,2,20278
4D管理科学与工程类(大数据管理与安全科学),A497武汉理工大学,11,20386
0A工商管理类,H145东北大学秦皇岛分校,27,20471
36信息管理与信息系统,A697西北大学,3,20556
53农林经济管理,A635西南大学,1,20657
5B信息管理与信息系统,B415中国地质大学(北京),2,20793
45工商管理类,A712西北农林科技大学,9,20978
08信息管理与信息系统,A359合肥工业大学,5,20998
68信息管理与信息系统(中外合作办学),A280上海大学,3,21059
02工商管理类,A459郑州大学,9,21072
02大数据管理与应用,A290中国矿业大学,5,21154
16公共管理类,A718陕西师范大学,12,21183
54工商管理,A295江南大学,8,21322
26工商管理类,A497武汉理工大学,22,21334
61公共管理类,A028首都师范大学,4,21617
26行政管理,A726西北政法大学,1,21630
93行政管理,B413中国矿业大学(北京),5,21826
03公共管理类,A712西北农林科技大学,6,21840
17工商管理(中外合作办学),A280上海大学,2,21841
07工商管理类,A079华北电力大学(保定),5,21868
15农林经济管理,A307南京农业大学,7,21908
65公共事业管理,A613西南交通大学,2,21970
31大数据管理与应用,A710长安大学,2,22069
62自然资源登记与管理,B415中国地质大学(北京),2,22120
18图书情报与档案管理类,A697西北大学,4,22152
D5行政管理,A590深圳大学,1,22621
62旅游管理,A559暨南大学,2,22656
06公共管理类,A459郑州大学,10,22672
24农林经济管理(本硕博班),A224东北农业大学,3,22704
28工商管理(国际会计),A038首都经济贸易大学,2,22962
19财务管理(AI财务),A031北京第二外国语学院,1,22977
72应急管理,A559暨南大学,2,22991
