专业代号及名称,院校代号及名称,投档计划数,投档最低位次
14数学与应用数学,A536长沙理工大学,2,36947
93数学与应用数学(中外合作办学),A300南京信息工程大学,3,37625
36数学类,A749宁夏大学,4,38322
35数学与应用数学(师范类),A637重庆师范大学,3,39676
23数学与应用数学(师范类),A332苏州科技大学,2,41529
28数学与应用数学(师范类),A370安徽师范大学,2,41737
0Q数学类,A636四川师范大学,4,42460
37数学与应用数学(金融统计、数据分析方向),A385华侨大学,4,42784
0G数学与应用数学,B047上海立信会计金融学院,4,43628
32数学类,A618重庆交通大学,3,43761
36数学与应用数学,A703西安建筑科技大学,2,44640
43数学与应用数学(师范类),A513湖北师范大学,3,45899
01数学与应用数学,A702西安工业大学,2,45900
C1数学与应用数学,H414中国石油大学(北京)克拉玛依校区,5,46196
18数学与应用数学(吴方班),A424山东科技大学,30,46442
0R数学与应用数学(师范类),A094河北师范大学,8,48376
1A数学与应用数学(师范类),A759石河子大学,5,48920
12数学与应用数学(中外合作办学)(2加2),F301宁波诺丁汉大学,3,49028
2B数学与应用数学(师范类),A414江西师范大学,17,50124
01数学与应用数学(师范类),A476河南师范大学,5,50171
44数学与应用数学,A150大连交通大学,2,50503
31数学类(中外合作办学),F302西交利物浦大学,13,50944
7L数学与应用数学(师范类),A231哈尔滨师范大学,3,50949
42数学与应用数学(师范类),A736西北师范大学,3,51682
1Z数学与应用数学,B065青岛大学,111,51997
59数学与应用数学,A390集美大学,3,52164
2B数学与应用数学,A424山东科技大学,47,52778
18数学类,A708陕西科技大学,3,53017
92数学与应用数学,A188东北电力大学,4,53562
03金融数学,A636四川师范大学,2,55091
11数学与应用数学(中外合作办学),F301宁波诺丁汉大学,6,56000
16金融数学(地方专项计划),A456山东财经大学,10,57649
38数学与应用数学(师范类),A534湖南科技大学,2,57704
31数学与应用数学,A212黑龙江大学,2,57975
0Z金融数学,A456山东财经大学,45,58585
35金融数学,B540广东金融学院,1,59688
0C数学与应用数学(中外合作办学),F409深圳北理莫斯科大学,3,60243
0T数学与应用数学,A456山东财经大学,40,60529
0Z数学与应用数学(师范类),A446曲阜师范大学,270,60545
24金融数学,B660重庆理工大学,3,61563
B2数学类(设教师教育、大数据与科学计算2个专业方向),B075三峡大学,4,61644
0Q数学与应用数学,A426青岛科技大学,32,62056
42金融数学,A125山西财经大学,2,62823
71数学与应用数学(师范类),A203吉林师范大学,2,62981
2W数学与应用数学(师范类),Y017青岛大学,35,63411
31数学与应用数学(师范类),A340浙江海洋大学,2,64252
09数学与应用数学(师范类),B658海南师范大学,3,64516
06数学与应用数学,A378安徽财经大学,2,65581
0D数学与应用数学(中外合作办学),F401北京师范大学-香港浸会大学联合国际学院,2,65735
24数学类,A110中北大学,8,65860
1V数学与应用数学(师范类),A681云南师范大学,4,66953
98数学与应用数学,A081华北理工大学,5,67101
L3数学与应用数学,B258大连大学,3,67360
0C金融数学(中外合作办学),F401北京师范大学-香港浸会大学联合国际学院,3,67461
2D数学与应用数学(师范类),A427济南大学,81,68576
13数学类(师范),A489长江大学,3,70170
05数学与应用数学,A429青岛理工大学,35,71331
18数学类,A709西安工程大学,2,71381
T1数学类,A186长春理工大学,4,71522
15数学类,A524中南民族大学,8,71665
22数学与应用数学(师范类),A373淮北师范大学,2,71940
47数学与应用数学,A463河南工业大学,2,73142
08数学与应用数学,A361安徽理工大学,4,74438
0Q数学与应用数学,A107石家庄铁道大学,6,74551
12数学与应用数学(师范类),A166沈阳师范大学,2,74731
0Y数学与应用数学,A207吉林财经大学,3,74949
21数学与应用数学(师范类),A720陕西理工大学,1,76106
H3数学与应用数学,A360安徽工业大学,3,76437
56数学与应用数学(师范类),A602广西师范大学,5,77558
1Y数学与应用数学(师范类，非西藏生源定向西藏就业),Y006山东师范大学,2,77594
48数学类,A460河南理工大学,2,77709
10数学与应用数学(含金融、软件设计方向),A405东华理工大学,4,77992
0H金融数学,A427济南大学,30,79713
SB数学与应用数学(师范类),B460南京晓庄学院,2,80963
23数学类,A656西南民族大学,4,81779
32数学与应用数学(中外合作办学)(数据分析方向),F405温州肯恩大学,3,81799
61数学与应用数学(师范类),A066天津职业技术师范大学,7,82490
14数学与应用数学(师范类，济南走读),Y016济南大学,15,84383
1B数学与应用数学,A689云南财经大学,4,84546
23数学类,B832河北经贸大学,3,85624
32数学与应用数学(师范类),A451鲁东大学,146,89047
