专业代号及名称,院校代号及名称,投档计划数,投档最低位次
1B土木工程,Y004青岛理工大学,245,169686
21土木类,A485郑州航空工业管理学院,2,170374
0W土木工程,E527山西工程技术学院,2,170941
16土木工程,A388福建工程学院,10,171444
13土木工程,B104华北科技学院,8,172234
29土木工程,B070洛阳理工学院,4,174666
M1土木类,A223黑龙江八一农垦大学,3,174886
0B土木工程,B319南昌工程学院,4,177277
0M土木工程,A551湖南科技学院,2,177454
33土木工程,D291嘉兴南湖学院,2,180327
11土木工程,E623滇西应用技术大学,2,182016
0B土木工程(中外合作办学),A429青岛理工大学,71,182296
0P土木类,B510山东交通学院,148,183747
07土木工程,B437长春工程学院,2,183883
0A土木工程,B067潍坊学院,50,185510
31土木工程,B527湖南城市学院,2,185549
LH土木类,A127内蒙古科技大学,50,185930
58土木工程,A483商丘师范学院,2,187361
68土木工程,A644四川文理学院,4,188432
01土木工程,A453泰山学院,41,189891
5W土木工程,A758新疆农业大学,15,191556
05土木类,A085河北水利电力学院,8,191711
0W土木类,B802黑龙江工程学院,3,192552
1G土木工程(中外合作办学),A430山东建筑大学,100,195539
31土木工程(中外合作办学),A076河北工程大学,10,196076
92土木工程,D534山西工学院,2,196336
3R土木工程(中外合作办学)(土木与环境),A676云南农业大学,2,196408
1V土木类,A234哈尔滨学院,2,198168
2E土木工程,A449滨州学院,65,198617
H1土木工程(中外合作办学),A489长江大学,13,198924
36土木工程(中外合作办学),A191吉林建筑大学,4,199115
25土木工程,A397武夷学院,2,200680
0W土木工程,A664遵义师范学院,2,200928
1Q土木工程,B843九江学院,4,202331
56土木工程(中外合作办学)(中德合作办学),B057浙江科技学院,5,203070
0H土木工程,D432赣东学院,1,203245
2B土木工程,A455菏泽学院,70,203870
47土木工程,A976贵阳学院,2,204160
20土木工程(房屋建筑方向),B653南阳理工学院,5,206210
37土木工程,A479安阳师范学院,3,206280
10土木工程,B242太原学院,6,207215
1M土木类,A904枣庄学院,82,207988
21土木工程(地下工程方向),B653南阳理工学院,5,208059
1P土木工程,B508新余学院,1,208656
0G土木工程,B395榆林学院,3,208661
30土木工程,A757塔里木大学,10,208746
61土木工程,A379宿州学院,5,209296
30土木工程,B396商洛学院,2,210404
31土木工程,A628西昌学院,5,210543
J7土木工程,A417宜春学院,1,210629
0Q土木工程,A812吕梁学院,5,210766
59土木类,A481南阳师范学院,14,210809
17土木工程,B439吉林农业科技学院,2,211300
09土木工程,C689东南大学成贤学院,2,211851
45土木工程,B311三明学院,5,213037
28土木工程,B360攀枝花学院,4,213064
45土木工程,A819呼伦贝尔学院,4,213373
38土木工程,A918黄淮学院,35,213448
06土木工程,B445黑龙江工业学院,12,214160
9R土木工程(中外合作办学),A647长江师范学院,5,214984
BA土木工程,A764伊犁师范大学,5,215128
3J土木工程,A763喀什大学,20,215204
48土木工程(中外合作办学),A350台州学院,5,218238
25土木工程,A994新疆工程学院,12,219371
49土木工程(智能设计与建造),B418北京城市学院,1,219478
01土木工程,D898北京科技大学天津学院,2,221013
D1土木工程,D558新疆理工学院,15,223261
35土木工程,D986江苏大学京江学院,2,224865
34土木工程,C362武汉生物工程学院,2,225332
0C土木工程,D578河北工程大学科信学院,2,225570
12土木工程,D593石家庄铁道大学四方学院,13,225797
23土木工程,D905南京工业大学浦江学院,3,225839
26土木工程,D469厦门大学嘉庚学院,3,226220
2K土木工程(中外合作办学),A477信阳师范学院,10,227948
05土木工程(中外合作办学)(双证),B510山东交通学院,79,228238
07土木工程,C650南华大学船山学院,3,229020
17土木工程,D635长沙理工大学城南学院,2,229374
72土木工程(中外合作办学),B437长春工程学院,15,229495
17土木工程,C309武昌首义学院,2,229848
0M土木工程,D579中国矿业大学徐海学院,8,230721
C3土木工程,D903成都锦城学院,6,230800
17土木工程,D257湖北文理学院理工学院,1,232513
22土木工程,B122三江学院,10,233560
28土木工程,D503信阳学院,3,234831
0D土木工程,D997青岛农业大学海都学院,40,234946
51土木工程,E202沧州交通学院,3,235147
09土木工程,D262文华学院,2,235212
23土木工程,D497郑州财经学院,2,235270
0U土木工程,C544宁夏理工学院,2,235383
13土木工程,D679西安建筑科技大学华清学院,2,235792
0J土木工程,D235武汉城市学院,1,236246
4A土木工程,D198大连理工大学城市学院,1,237172
34土木工程(道路与桥梁工程方向),D239武汉工程大学邮电与信息工程学院,7,237940
20土木工程,E038天津仁爱学院,2,238251
15土木工程,D511兰州工商学院,2,238718
0H土木工程,D408华北理工大学轻工学院,5,240162
0S土木工程,C843潍坊科技学院,66,240791
08土木工程,C796河北工程技术学院,5,241580
