专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0L信息管理与信息系统(济南走读),Y015山东建筑大学,20,153084
22信息管理与信息系统(校企合作，与山东全通网融科技有限公司合作),A433山东理工大学,40,153305
37信息管理与信息系统,A127内蒙古科技大学,3,153537
0E信息管理与信息系统(地方专项计划),A441山东中医药大学,10,154934
0P信息管理与信息系统,B230齐齐哈尔医学院,1,156088
10信息管理与信息系统,A485郑州航空工业管理学院,2,160175
0S信息管理与信息系统(校企合作，与山东智博教育科技有限公司合作),A431齐鲁工业大学,160,160656
1L信息管理与信息系统,B688山东工商学院,42,172863
1M信息管理与信息系统(校企合作，与山东浪潮优派科技教育合作),A439山东第一医科大学,50,174429
24信息管理与信息系统,A760新疆医科大学,1,175184
42信息管理与信息系统,A408景德镇陶瓷大学,2,175561
22信息管理与信息系统,D706吉林医药学院,2,177310
30信息管理与信息系统,A766新疆财经大学,4,177933
1K信息管理与信息系统,A748青海民族大学,2,181664
A4信息管理与信息系统(中外合作办学),A082河北科技大学,4,186997
04信息管理与信息系统,A443济宁医学院,43,190119
H8信息管理与信息系统,D560新疆第二医学院,1,190352
14信息管理与信息系统,A117长治医学院,1,191895
10信息管理与信息系统,A440滨州医学院,142,194830
29信息管理与信息系统,A192吉林化工学院,5,198966
27信息管理与信息系统,A099唐山师范学院,5,201220
27信息管理与信息系统,D994南京审计大学金审学院,1,202004
35信息管理与信息系统,A084河北建筑工程学院,2,202791
0H信息管理与信息系统(校企合作，与山东贝森医疗信息咨询公司合作),E438山东管理学院,80,211310
1H信息管理与信息系统(校企合作，与山东全通网融科技有限公司合作),B688山东工商学院,70,212784
HA信息管理与信息系统,A764伊犁师范大学,15,213623
47信息管理与信息系统(中外合作办学),A485郑州航空工业管理学院,3,215710
32信息管理与信息系统,D469厦门大学嘉庚学院,4,217363
Z2信息管理与信息系统(中外合作办学),A549湖南文理学院,4,220825
77信息管理与信息系统(中外合作办学),B330安阳工学院,3,224281
0C信息管理与信息系统(大数据分析与应用),D248湖北汽车工业学院科技学院,1,225060
P1信息管理与信息系统,D558新疆理工学院,15,225715
0K信息管理与信息系统,D999山东财经大学东方学院,10,227805
06信息管理与信息系统,C636成都东软学院,2,227941
0M信息管理与信息系统,D441江西财经大学现代经济管理学院,1,228743
0K信息管理与信息系统,A841辽宁对外经贸学院,1,232169
04信息管理与信息系统,C332烟台南山学院,22,233631
