专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
翻译,安徽工业大学,2,546,"87,331",none,none,none,none,none,none,省重点,none,公办
高分子材料与工程,安徽工业大学,2,551,"79,568",2,536,"81,472",2,531,"88,261",省重点,none,公办
工程管理,安徽工业大学,2,546,"86,377",2,529,"92,242",2,525,"97,686",省重点,none,公办
工程造价,安徽工业大学,2,546,"86,697",2,533,"86,262",2,527,"94,114",省重点,none,公办
工业工程,安徽工业大学,2,544,"90,355",2,529,"92,708",2,526,"95,957",省重点,none,公办
工业设计,安徽工业大学,2,550,"81,043",2,533,"85,267",2,532,"85,893",省重点,none,公办
公共事业管理,安徽工业大学,2,543,"90,922",2,532,"88,044",2,527,"95,628",省重点,none,公办
光电信息科学与工程,安徽工业大学,2,552,"78,266",3,540,"74,417",3,539,"75,697",省重点,none,公办
光源与照明,安徽工业大学,2,541,"94,219",none,none,none,none,none,none,省重点,none,公办
国际经济与贸易,安徽工业大学,none,none,none,2,532,"87,949",2,529,"91,241",省重点,none,公办
焊接技术与工程,安徽工业大学,2,542,"93,158",none,none,none,none,none,none,省重点,none,公办
互联网金融,安徽工业大学,1,556,"72,720",2,544,"68,279",2,539,"74,837",省重点,none,公办
化学工程与工艺,安徽工业大学,2,551,"78,991",2,538,"77,654",2,534,"83,308",省重点,none,公办
化学生物学,安徽工业大学,none,none,none,2,526,"96,967",2,524,"100,056",省重点,none,公办
环境工程,安徽工业大学,2,546,"86,959",2,530,"91,516",2,522,"103,539",省重点,none,公办
会计学,安徽工业大学,2,565,"60,397",2,550,"60,490",2,548,"61,801",省重点,none,公办
机器人工程,安徽工业大学,2,552,"78,232",2,540,"75,030",2,541,"71,807",省重点,none,公办
机械工程,安徽工业大学,2,550,"81,039",2,535,"81,926",2,534,"83,479",省重点,none,公办
机械设计制造及其自动化,安徽工业大学,4,552,"77,913",8,536,"80,027",8,535,"80,962",省重点,none,公办
集成电路设计与集成系统,安徽工业大学,none,none,none,none,none,none,2,543,"68,589",省重点,none,公办
