专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
光电信息科学与工程,闽南师范大学,none,none,none,none,none,none,2,505,"139,683",省重点,none,公办
环境工程,闽南师范大学,8,509,"151,760",none,none,none,none,none,none,省重点,none,公办
环境科学与工程,闽南师范大学,none,none,none,6,499,"151,801",6,497,"157,344",省重点,none,公办
计算机科学与技术,闽南师范大学,none,none,none,4,509,"130,095",4,509,"129,396",省重点,none,公办
旅游管理,闽南师范大学,4,515,"140,891",4,503,"143,308",4,498,"154,590",省重点,none,公办
人力资源管理,闽南师范大学,4,535,"103,972",4,522,"105,391",4,515,"118,609",省重点,none,公办
软件工程,闽南师范大学,none,none,none,4,506,"136,953",4,505,"137,665",省重点,none,公办
商务英语,闽南师范大学,8,534,"107,363",5,522,"105,942",5,518,"111,873",省重点,none,公办
生物科学(师范类),闽南师范大学,none,none,none,4,520,"109,250",4,522,"104,315",省重点,none,公办
数学与应用数学(师范类),闽南师范大学,none,none,none,2,524,"101,134",2,522,"103,418",省重点,none,公办
网络工程,闽南师范大学,8,516,"138,130",8,505,"138,239",6,505,"138,248",省重点,none,公办
心理学(师范类),闽南师范大学,none,none,none,3,530,"91,396",3,525,"97,687",省重点,none,公办
电气工程及其自动化,牡丹江师范学院,2,487,"196,649",2,482,"190,162",2,481,"193,126",none,none,公办
电子信息科学与技术,牡丹江师范学院,2,487,"197,074",3,481,"192,366",3,478,"202,579",none,none,公办
工商管理,牡丹江师范学院,5,490,"189,591",5,484,"186,412",5,481,"195,084",none,none,公办
汉语言文学,牡丹江师范学院,4,504,"162,198",3,501,"148,768",3,503,"143,257",none,none,公办
化学,牡丹江师范学院,3,499,"171,107",3,492,"167,903",3,492,"167,240",none,none,公办
历史学,牡丹江师范学院,none,none,none,3,496,"159,605",3,501,"148,455",none,none,公办
商务英语,牡丹江师范学院,2,496,"178,004",2,490,"172,761",2,489,"174,583",none,none,公办
生物技术,牡丹江师范学院,4,491,"187,364",4,484,"187,634",4,483,"189,857",none,none,公办
市场营销,牡丹江师范学院,4,485,"200,038",4,484,"187,461",4,480,"195,520",none,none,公办
数学与应用数学,牡丹江师范学院,3,494,"181,116",3,492,"167,153",3,491,"170,769",none,none,公办
物理学,牡丹江师范学院,3,495,"179,072",none,none,none,none,none,none,none,none,公办
英语(师范类),牡丹江师范学院,3,499,"172,633",3,498,"155,441",3,498,"154,401",none,none,公办
护理学,牡丹江医学院,2,533,"108,878",none,none,none,none,none,none,none,none,公办
康复治疗学,牡丹江医学院,2,517,"136,943",none,none,none,none,none,none,none,none,公办
临床医学,牡丹江医学院,2,545,"87,774",9,531,"88,550",9,528,"93,287",none,none,公办
麻醉学,牡丹江医学院,2,535,"105,175",4,525,"98,773",4,527,"95,082",none,none,公办
生物医学工程,牡丹江医学院,2,503,"163,607",2,492,"167,198",2,489,"175,829",none,none,公办
卫生检验与检疫,牡丹江医学院,2,512,"145,539",none,none,none,none,none,none,none,none,公办
药物制剂,牡丹江医学院,2,503,"163,795",none,none,none,none,none,none,none,none,公办
药学,牡丹江医学院,2,512,"145,973",none,none,none,none,none,none,none,none,公办
医学检验技术,牡丹江医学院,2,526,"120,500",2,515,"118,162",2,512,"124,156",none,none,公办
医学影像技术,牡丹江医学院,2,518,"134,815",2,507,"134,979",2,512,"124,143",none,none,公办
医学影像学,牡丹江医学院,2,536,"103,472",4,531,"88,365",4,537,"77,807",none,none,公办
预防医学,牡丹江医学院,1,530,"113,389",none,none,none,none,none,none,none,none,公办
制药工程,牡丹江医学院,2,505,"160,804",2,496,"158,780",2,492,"168,641",none,none,公办
材料成型及控制工程,南昌大学,2,599,"27,537",2,582,"28,243",2,579,"28,643",211,一流学科,公办
材料类,南昌大学,5,603,"24,731",10,582,"28,298",10,575,"32,385",211,一流学科,公办
车辆工程,南昌大学,2,603,"24,684",2,586,"25,345",3,583,"25,462",211,一流学科,公办
德语,南昌大学,4,602,"25,468",3,584,"26,930",3,582,"26,932",211,一流学科,公办
电气工程及其自动化,南昌大学,3,607,"22,244",3,594,"20,237",3,592,"19,988",211,一流学科,公办
电子信息类,南昌大学,4,610,"20,280",4,593,"20,688",4,590,"20,895",211,一流学科,公办
俄语,南昌大学,2,602,"25,620",2,584,"26,630",2,580,"28,142",211,一流学科,公办
法学类,南昌大学,3,613,"18,773",3,599,"17,381",3,596,"17,438",211,一流学科,公办
给排水科学与工程,南昌大学,2,597,"29,067",none,none,none,none,none,none,211,一流学科,公办
工商管理,南昌大学,4,608,"21,675",4,590,"22,461",4,586,"23,783",211,一流学科,公办
工商管理(中法实验班),南昌大学,4,599,"27,235",4,581,"29,183",2,579,"29,358",211,一流学科,公办
公共管理类,南昌大学,4,605,"23,630",4,587,"24,597",4,584,"25,293",211,一流学科,公办
过程装备与控制工程,南昌大学,3,598,"28,351",3,581,"28,831",3,578,"29,941",211,一流学科,公办
护理学,南昌大学,4,590,"34,922",6,575,"34,133",6,573,"34,061",211,一流学科,公办
化工与制药类,南昌大学,5,601,"26,089",5,584,"26,427",5,580,"27,939",211,一流学科,公办
化学类,南昌大学,2,607,"22,272",4,589,"23,592",3,583,"25,501",211,一流学科,公办
环境科学与工程类,南昌大学,none,none,none,5,580,"30,067",5,575,"32,365",211,一流学科,公办
会计学(国际会计师),南昌大学,5,609,"21,130",3,593,"21,057",3,590,"21,283",211,一流学科,公办
机械设计制造及其自动化,南昌大学,5,602,"25,588",5,586,"25,536",5,583,"25,639",211,一流学科,公办
基础医学,南昌大学,2,608,"21,332",2,591,"22,214",5,582,"26,245",211,一流学科,公办
计算机类(计算机与大数据),南昌大学,3,616,"16,760",3,600,"16,738",4,596,"17,180",211,一流学科,公办
计算机类(软件与网络空间),南昌大学,12,613,"18,489",12,597,"18,554",12,593,"19,143",211,一流学科,公办
建筑类,南昌大学,3,601,"25,863",3,585,"25,690",3,578,"29,677",211,一流学科,公办
金融数学,南昌大学,3,608,"21,372",none,none,none,none,none,none,211,一流学科,公办
金融学,南昌大学,4,612,"19,185",4,596,"18,905",5,592,"19,614",211,一流学科,公办
康复治疗学,南昌大学,3,603,"24,719",3,585,"26,194",none,none,none,211,一流学科,公办
口腔医学,南昌大学,2,630,"10,583",3,614,"10,193",4,609,"10,880",211,一流学科,公办
临床医学,南昌大学,12,626,"12,252",15,610,"11,956",15,606,"12,492",211,一流学科,公办
临床医学类(中外合作办学)(中英双学位合作办学),南昌大学,65,582,"41,786",65,568,"40,425",60,568,"38,651",211,一流学科,公办
麻醉学,南昌大学,5,621,"14,578",5,603,"15,009",5,601,"14,720",211,一流学科,公办
人工智能,南昌大学,3,616,"16,804",none,none,none,none,none,none,211,一流学科,公办
日语,南昌大学,3,601,"26,323",2,585,"26,130",2,581,"27,377",211,一流学科,公办
生态学,南昌大学,2,602,"25,300",4,583,"27,454",4,574,"32,882",211,一流学科,公办
生物工程,南昌大学,2,601,"25,735",2,584,"26,458",2,581,"27,518",211,一流学科,公办
生物科学类,南昌大学,2,607,"22,346",5,588,"23,943",5,584,"24,904",211,一流学科,公办
食品科学与工程类,南昌大学,9,599,"27,249",10,580,"29,601",10,576,"31,487",211,一流学科,公办
水产养殖学,南昌大学,3,598,"28,117",5,578,"31,244",3,571,"35,784",211,一流学科,公办
土木类,南昌大学,5,600,"27,035",3,584,"26,929",4,578,"30,039",211,一流学科,公办
物理学类,南昌大学,2,606,"22,630",3,589,"23,259",3,587,"23,235",211,一流学科,公办
西班牙语,南昌大学,2,609,"21,252",2,589,"23,164",2,584,"24,849",211,一流学科,公办
新闻传播学类,南昌大学,none,none,none,8,590,"22,925",8,588,"22,637",211,一流学科,公办
新闻学,南昌大学,2,610,"20,516",none,none,none,none,none,none,211,一流学科,公办
眼视光医学,南昌大学,6,617,"16,210",6,601,"16,218",6,598,"16,274",211,一流学科,公办
药学,南昌大学,6,602,"25,651",6,585,"25,788",6,583,"26,143",211,一流学科,公办
英语(英日),南昌大学,none,none,none,none,none,none,3,584,"24,740",211,一流学科,公办
哲学,南昌大学,2,608,"21,739",2,590,"22,524",3,590,"21,273",211,一流学科,公办
智能医学工程,南昌大学,3,602,"25,155",3,585,"26,211",3,580,"28,387",211,一流学科,公办
中国语言文学类,南昌大学,2,611,"19,774",2,596,"19,038",2,597,"16,772",211,一流学科,公办
自动化,南昌大学,3,606,"22,652",3,590,"22,487",3,588,"22,027",211,一流学科,公办
学院材料成型及控制工程,南昌大学,2,502,"165,203",none,none,none,none,none,none,211,一流学科,公办
车辆工程,南昌工程学院,2,499,"171,047",2,494,"164,343",2,493,"166,034",none,none,公办
城乡规划,南昌工程学院,2,505,"160,925",2,495,"161,682",2,493,"165,640",none,none,公办
电气工程及其自动化,南昌工程学院,4,507,"156,142",2,499,"151,281",2,510,"127,860",none,none,公办
电子商务,南昌工程学院,2,506,"158,661",2,498,"154,655",2,501,"147,616",none,none,公办
工程造价,南昌工程学院,2,509,"151,146",2,501,"148,476",2,497,"155,792",none,none,公办
工业工程,南昌工程学院,none,none,none,none,none,none,2,494,"162,845",none,none,公办
国际经济与贸易,南昌工程学院,2,513,"145,049",2,503,"144,019",2,500,"150,124",none,none,公办
机器人工程,南昌工程学院,none,none,none,2,499,"151,250",2,500,"149,815",none,none,公办
机械电子工程,南昌工程学院,2,499,"171,749",none,none,none,none,none,none,none,none,公办
机械设计制造及其自动化,南昌工程学院,4,499,"171,498",4,495,"160,416",2,497,"156,652",none,none,公办
计算机科学与技术,南昌工程学院,none,none,none,none,none,none,4,507,"135,051",none,none,公办
计算机类,南昌工程学院,2,512,"145,440",2,506,"137,247",none,none,none,none,none,公办
审计学,南昌工程学院,4,506,"157,499",4,500,"149,953",2,504,"141,481",none,none,公办
市场营销,南昌工程学院,2,505,"160,391",2,495,"161,245",2,496,"159,930",none,none,公办
数据科学与大数据技术,南昌工程学院,2,508,"153,350",2,500,"149,547",2,505,"138,324",none,none,公办
水利水电工程,南昌工程学院,5,510,"150,448",9,500,"149,739",5,501,"147,772",none,none,公办
水文与水资源工程,南昌工程学院,2,502,"166,462",2,495,"160,715",2,497,"156,532",none,none,公办
土木工程,南昌工程学院,4,498,"173,188",4,491,"169,749",4,488,"177,277",none,none,公办
物流管理,南昌工程学院,2,506,"158,886",2,497,"157,024",2,492,"168,026",none,none,公办
新闻传播学类,南昌工程学院,none,none,none,2,505,"140,106",2,503,"142,593",none,none,公办
应用统计学,南昌工程学院,2,502,"166,124",2,493,"164,762",2,495,"161,716",none,none,公办
英语,南昌工程学院,2,514,"142,389",2,505,"139,679",2,501,"147,984",none,none,公办
智慧水利,南昌工程学院,none,none,none,none,none,none,4,496,"158,228",none,none,公办
自动化,南昌工程学院,2,505,"159,991",2,497,"155,559",2,497,"155,990",none,none,公办
材料成型及控制工程,南昌航空大学,3,567,"58,393",3,548,"63,693",6,538,"76,792",省重点,none,公办
材料化学,南昌航空大学,2,569,"55,564",4,550,"60,301",3,543,"69,120",省重点,none,公办
测控技术与仪器,南昌航空大学,2,573,"51,266",2,559,"49,412",4,555,"52,729",省重点,none,公办
电子科学与技术,南昌航空大学,1,584,"39,591",1,568,"40,399",2,566,"41,253",省重点,none,公办
电子商务(商务运营),南昌航空大学,1,565,"60,456",1,554,"56,029",2,545,"66,407",省重点,none,公办
电子信息工程,南昌航空大学,3,577,"46,743",3,561,"47,237",4,559,"47,936",省重点,none,公办
飞行器动力工程,南昌航空大学,3,580,"44,286",2,564,"44,482",3,560,"46,951",省重点,none,公办
飞行器设计与工程,南昌航空大学,2,580,"43,552",2,565,"42,899",4,563,"44,198",省重点,none,公办
飞行器制造工程,南昌航空大学,2,582,"42,369",2,566,"42,422",2,564,"43,229",省重点,none,公办
飞行器制造工程(航空维修工程与技术),南昌航空大学,2,580,"44,290",5,559,"49,588",4,553,"55,629",省重点,none,公办
复合材料与工程,南昌航空大学,2,568,"56,893",3,541,"73,560",2,538,"75,992",省重点,none,公办
高分子材料与工程,南昌航空大学,2,574,"50,214",4,553,"56,351",2,547,"63,144",省重点,none,公办
给排水科学与工程,南昌航空大学,2,570,"54,288",3,550,"61,164",3,541,"72,019",省重点,none,公办
工程管理,南昌航空大学,1,573,"51,338",4,542,"71,024",2,541,"72,206",省重点,none,公办
工商管理(民航管理),南昌航空大学,1,583,"41,436",1,566,"42,085",none,none,none,省重点,none,公办
工业工程,南昌航空大学,1,569,"55,649",6,549,"62,016",2,545,"65,632",省重点,none,公办
焊接技术与工程,南昌航空大学,2,565,"60,166",2,541,"72,567",2,537,"78,064",省重点,none,公办
环境工程,南昌航空大学,2,573,"51,628",3,543,"69,736",2,542,"71,096",省重点,none,公办
机械电子工程,南昌航空大学,2,572,"52,396",2,557,"52,581",4,553,"55,257",省重点,none,公办
机械设计制造及其自动化,南昌航空大学,2,578,"46,206",2,562,"46,848",2,558,"49,280",省重点,none,公办
计算机科学与技术,南昌航空大学,2,581,"42,988",2,568,"40,634",2,569,"37,971",省重点,none,公办
金属材料工程,南昌航空大学,3,562,"64,454",5,544,"69,514",5,532,"85,921",省重点,none,公办
经济学(金融与投资),南昌航空大学,1,573,"50,886",1,561,"48,016",2,558,"49,990",省重点,none,公办
通信工程,南昌航空大学,2,576,"47,696",2,562,"47,079",2,562,"45,243",省重点,none,公办
无机非金属材料工程,南昌航空大学,2,562,"64,200",3,544,"68,097",2,537,"78,165",省重点,none,公办
新闻学,南昌航空大学,1,574,"50,059",4,558,"51,212",2,556,"52,566",省重点,none,公办
应用化学,南昌航空大学,2,567,"58,040",4,547,"64,497",4,542,"70,112",省重点,none,公办
英语(科技英语),南昌航空大学,1,574,"50,649",none,none,none,none,none,none,省重点,none,公办
自动化,南昌航空大学,2,575,"49,326",2,558,"50,785",2,556,"51,393",省重点,none,公办
电子商务,南昌师范学院,2,504,"161,829",2,496,"159,726",1,497,"157,638",none,none,公办
电子信息工程,南昌师范学院,2,497,"175,218",1,492,"166,947",2,491,"170,084",none,none,公办
汉语言文学(师范类),南昌师范学院,2,523,"125,802",2,524,"101,645",1,525,"99,471",none,none,公办
化学(师范类),南昌师范学院,1,522,"128,339",1,513,"123,135",1,511,"125,061",none,none,公办
会展经济与管理,南昌师范学院,2,498,"174,726",1,494,"163,057",2,491,"169,614",none,none,公办
计算机科学与技术(师范类),南昌师范学院,2,505,"160,404",1,500,"149,151",1,501,"147,034",none,none,公办
科学教育(师范类),南昌师范学院,2,515,"140,462",2,508,"133,658",1,510,"127,532",none,none,公办
旅游管理,南昌师范学院,2,504,"162,877",2,493,"165,908",2,484,"186,822",none,none,公办
秘书学,南昌师范学院,1,506,"158,788",1,508,"131,757",2,503,"143,608",none,none,公办
商务英语,南昌师范学院,1,515,"140,052",1,519,"109,918",1,512,"124,683",none,none,公办
生物科学(师范类),南昌师范学院,2,516,"137,908",1,511,"126,550",2,509,"129,136",none,none,公办
数学与应用数学(师范类),南昌师范学院,2,516,"139,237",1,508,"133,282",2,506,"135,947",none,none,公办
思想政治教育(师范类),南昌师范学院,2,521,"129,463",1,523,"103,176",1,521,"106,286",none,none,公办
统计学,南昌师范学院,2,507,"155,992",2,500,"149,672",1,507,"134,791",none,none,公办
物理学(师范类),南昌师范学院,1,511,"147,953",1,503,"143,659",1,503,"142,251",none,none,公办
小学教育(师范类),南昌师范学院,2,520,"131,639",2,515,"118,855",2,514,"120,604",none,none,公办
学前教育(师范类),南昌师范学院,2,513,"144,569",2,508,"133,686",1,508,"132,778",none,none,公办
英语(师范类),南昌师范学院,1,544,"90,008",1,532,"88,042",2,527,"94,136",none,none,公办
护理学,南昌医学院,none,none,none,none,none,none,2,510,"128,207",none,none,公办
康复治疗学,南昌医学院,none,none,none,none,none,none,1,504,"140,486",none,none,公办
临床医学,南昌医学院,none,none,none,none,none,none,1,535,"81,510",none,none,公办
药学,南昌医学院,none,none,none,none,none,none,2,511,"126,921",none,none,公办
医学检验技术,南昌医学院,none,none,none,none,none,none,2,513,"121,547",none,none,公办
医学影像技术,南昌医学院,none,none,none,none,none,none,2,522,"104,182",none,none,公办
针灸推拿学,南昌医学院,none,none,none,5,516,"116,733",1,515,"118,241",none,none,公办
中西医临床医学,南昌医学院,none,none,none,5,516,"116,683",1,521,"106,880",none,none,公办
中医学,南昌医学院,none,none,none,5,519,"111,094",1,521,"105,421",none,none,公办
助产学,南昌医学院,none,none,none,none,none,none,2,496,"157,968",none,none,公办
儿科学,南方医科大学,1,628,"11,325",2,606,"13,751",2,602,"14,243","全国重点,省重点",none,公办
法学(卫生法学),南方医科大学,2,598,"28,310",none,none,none,none,none,none,"全国重点,省重点",none,公办
法医学,南方医科大学,2,610,"20,593",2,595,"19,768",2,589,"21,414","全国重点,省重点",none,公办
公共事业管理,南方医科大学,2,594,"31,663",none,none,none,none,none,none,"全国重点,省重点",none,公办
基础医学,南方医科大学,1,622,"14,160",2,603,"14,948",none,none,none,"全国重点,省重点",none,公办
基础医学(院士创新班),南方医科大学,2,620,"15,065",none,none,none,none,none,none,"全国重点,省重点",none,公办
健康服务与管理,南方医科大学,none,none,none,none,none,none,2,567,"40,251","全国重点,省重点",none,公办
康复治疗学,南方医科大学,1,604,"24,299",7,578,"31,232",7,566,"40,636","全国重点,省重点",none,公办
口腔医学,南方医科大学,1,639,"7,511",2,625,"6,471",2,622,"6,277","全国重点,省重点",none,公办
临床医学,南方医科大学,6,640,"7,058",4,626,"6,224",4,624,"5,956","全国重点,省重点",none,公办
临床医学(本硕博连读),南方医科大学,4,650,"4,580",3,640,"3,047",3,639,"2,643","全国重点,省重点",none,公办
临床医学(卓越创新班),南方医科大学,1,644,"6,035",1,629,"5,503",none,none,none,"全国重点,省重点",none,公办
生物医学工程,南方医科大学,5,598,"28,068",6,578,"31,058",6,573,"33,989","全国重点,省重点",none,公办
外国语言文学类,南方医科大学,3,585,"39,389",none,none,none,none,none,none,"全国重点,省重点",none,公办
药学,南方医科大学,2,621,"14,485",2,598,"17,946",2,591,"20,558","全国重点,省重点",none,公办
医学检验技术,南方医科大学,none,none,none,none,none,none,5,578,"29,896","全国重点,省重点",none,公办
医学影像学,南方医科大学,1,631,"10,131",2,616,"9,336",2,613,"9,569","全国重点,省重点",none,公办
应用心理学,南方医科大学,2,608,"21,814",2,590,"22,455",none,none,none,"全国重点,省重点",none,公办
预防医学,南方医科大学,2,621,"14,366",2,601,"16,068",3,597,"16,556","全国重点,省重点",none,公办
针灸推拿学,南方医科大学,1,605,"23,542",2,588,"24,250",none,none,none,"全国重点,省重点",none,公办
中西医临床医学,南方医科大学,1,635,"8,653",1,616,"9,356",2,609,"11,039","全国重点,省重点",none,公办
中西医临床医学(创新班),南方医科大学,none,none,none,1,610,"11,996",none,none,none,"全国重点,省重点",none,公办
中药学,南方医科大学,3,602,"25,534",3,581,"29,030",3,571,"35,744","全国重点,省重点",none,公办
中医学,南方医科大学,2,616,"16,729",1,597,"18,455",none,none,none,"全国重点,省重点",none,公办
安全工程(含卓越工程师班),南华大学,5,545,"88,513",5,531,"89,403",5,531,"87,531",none,none,公办
材料类,南华大学,5,543,"91,134",5,528,"94,740",5,522,"104,581",none,none,公办
测控技术与仪器,南华大学,2,545,"88,298",none,none,none,none,none,none,none,none,公办
城市地下空间工程,南华大学,8,536,"102,456",8,520,"108,287",8,516,"116,309",none,none,公办
电气工程及其自动化,南华大学,3,557,"71,035",3,545,"67,665",5,544,"67,874",none,none,公办
电子商务,南华大学,none,none,none,none,none,none,8,520,"108,745",none,none,公办
电子信息类,南华大学,5,554,"75,623",5,543,"69,560",4,542,"70,374",none,none,公办
法学,南华大学,7,561,"65,752",7,549,"62,285",6,548,"62,314",none,none,公办
风景园林,南华大学,3,550,"81,188",3,536,"81,572",3,531,"87,758",none,none,公办
核工程类,南华大学,6,566,"59,224",6,552,"58,400",4,549,"61,054",none,none,公办
核物理,南华大学,2,567,"57,801",2,554,"55,786",2,554,"54,793",none,none,公办
护理学,南华大学,6,538,"99,211",6,525,"99,110",9,521,"106,953",none,none,公办
化工与制药类,南华大学,7,541,"95,470",7,529,"93,252",4,529,"91,662",none,none,公办
环境工程,南华大学,6,542,"93,257",8,527,"95,078",8,522,"105,049",none,none,公办
机械类,南华大学,20,544,"90,006",20,528,"93,601",25,523,"101,476",none,none,公办
计算机类,南华大学,8,558,"69,322",8,545,"66,792",4,545,"65,744",none,none,公办
经济学,南华大学,2,555,"73,510",2,546,"66,326",2,543,"69,792",none,none,公办
矿业类,南华大学,12,532,"110,164",12,518,"111,858",10,509,"129,526",none,none,公办
临床医学类,南华大学,2,592,"33,118",2,580,"29,704",5,580,"28,401",none,none,公办
能源与动力工程,南华大学,5,547,"85,277",5,534,"83,562",5,533,"84,772",none,none,公办
生物技术,南华大学,2,556,"72,850",2,541,"73,216",2,537,"78,904",none,none,公办
土木类,南华大学,20,539,"98,312",20,522,"104,255",20,511,"126,199",none,none,公办
外国语言文学类,南华大学,4,552,"78,526",4,540,"75,072",8,534,"83,868",none,none,公办
物流工程,南华大学,4,548,"84,706",4,532,"88,195",8,520,"108,040",none,none,公办
信息与计算科学,南华大学,4,555,"73,977",4,541,"72,489",4,538,"76,233",none,none,公办
药学,南华大学,6,555,"74,160",6,540,"74,653",5,537,"78,943",none,none,公办
预防医学,南华大学,4,558,"69,453",4,545,"66,880",2,544,"67,724",none,none,公办
自动化类,南华大学,2,555,"73,589",2,544,"69,424",4,542,"70,146",none,none,公办
财务管理,南京财经大学,3,603,"24,537",none,none,none,none,none,none,省重点,none,公办
财政学类,南京财经大学,2,613,"18,599",3,596,"19,119",6,589,"21,781",省重点,none,公办
大数据管理与应用,南京财经大学,4,597,"28,846",4,579,"30,166",4,576,"31,285",省重点,none,公办
电子商务,南京财经大学,4,595,"30,572",4,576,"32,865",4,570,"36,945",省重点,none,公办
法学,南京财经大学,2,611,"19,799",2,593,"20,593",2,589,"21,561",省重点,none,公办
工商管理,南京财经大学,3,600,"26,667",3,582,"28,417",3,578,"29,955",省重点,none,公办
工商管理类,南京财经大学,none,none,none,5,589,"23,213",3,585,"24,682",省重点,none,公办
工业工程,南京财经大学,3,594,"31,641",3,568,"40,639",3,564,"42,938",省重点,none,公办
公共事业管理,南京财经大学,4,597,"29,065",4,575,"33,436",4,570,"36,728",省重点,none,公办
管理科学,南京财经大学,3,590,"34,278",3,569,"39,450",3,562,"45,161",省重点,none,公办
国际经济与贸易,南京财经大学,2,604,"23,738",2,587,"24,631",3,581,"27,466",省重点,none,公办
会计学,南京财经大学,2,611,"19,542",none,none,none,none,none,none,省重点,none,公办
金融工程,南京财经大学,2,602,"25,025",none,none,none,none,none,none,省重点,none,公办
金融数学,南京财经大学,2,600,"26,373",2,582,"28,079",2,579,"29,097",省重点,none,公办
金融学类,南京财经大学,4,604,"23,731",6,586,"25,221",6,581,"27,473",省重点,none,公办
经济统计学,南京财经大学,4,599,"27,356",none,none,none,none,none,none,省重点,none,公办
经济学类,南京财经大学,2,606,"23,062",6,586,"25,150",6,582,"26,557",省重点,none,公办
粮食工程,南京财经大学,4,582,"42,137",none,none,none,none,none,none,省重点,none,公办
软件工程(嵌入式培养),南京财经大学,3,595,"30,257",3,577,"32,260",4,575,"32,595",省重点,none,公办
社会工作,南京财经大学,4,594,"31,277",4,572,"36,708",none,none,none,省重点,none,公办
食品科学与工程类,南京财经大学,none,none,none,8,564,"44,245",8,558,"49,113",省重点,none,公办
市场营销,南京财经大学,4,599,"27,799",4,576,"33,031",4,570,"37,102",省重点,none,公办
数学与应用数学,南京财经大学,3,598,"28,511",3,580,"29,867",4,575,"32,095",省重点,none,公办
物流管理,南京财经大学,2,595,"30,283",3,571,"37,867",3,569,"38,347",省重点,none,公办
应用化学,南京财经大学,4,593,"32,237",none,none,none,none,none,none,省重点,none,公办
电子信息类,南京大学,5,677,677,7,661,746,8,655,761,"C9,985,211",一流大学,公办
工科试验班,南京大学,none,none,none,3,660,803,5,654,871,"C9,985,211",一流大学,公办
汉语言文学,南京大学,5,673,925,none,none,none,none,none,none,"C9,985,211",一流大学,公办
环境科学与工程类(环境与健康实验班),南京大学,none,none,none,5,656,"1,088",none,none,none,"C9,985,211",一流大学,公办
计算机科学与技术,南京大学,5,679,548,5,662,661,5,659,538,"C9,985,211",一流大学,公办
技术科学试验班,南京大学,none,none,none,none,none,none,12,655,801,"C9,985,211",一流大学,公办
建筑类(建筑与规划实验班),南京大学,none,none,none,1,659,889,none,none,none,"C9,985,211",一流大学,公办
经济管理试验班,南京大学,8,675,818,8,659,840,9,652,"1,013","C9,985,211",一流大学,公办
理科试验班(匡亚明学院大理科班),南京大学,5,680,478,none,none,none,none,none,none,"C9,985,211",一流大学,公办
理科试验班(数理科学类),南京大学,13,677,675,13,660,814,16,654,851,"C9,985,211",一流大学,公办
理科试验班类(地球科学与资源环境类),南京大学,none,none,none,6,656,"1,077",4,651,"1,077","C9,985,211",一流大学,公办
理科试验班类(化学与生命科学类),南京大学,4,676,735,4,658,915,5,653,962,"C9,985,211",一流大学,公办
理科试验班类(匡亚明学院大理科班),南京大学,none,none,none,5,662,662,5,658,622,"C9,985,211",一流大学,公办
人工智能,南京大学,3,680,493,4,663,636,3,661,464,"C9,985,211",一流大学,公办
软件工程,南京大学,6,677,699,7,661,760,7,655,752,"C9,985,211",一流大学,公办
社会科学试验班,南京大学,4,674,915,4,658,954,5,652,"1,058","C9,985,211",一流大学,公办
外国语言文学类,南京大学,2,673,942,none,none,none,none,none,none,"C9,985,211",一流大学,公办
材料成型及控制工程,南京工程学院,4,556,"72,289",none,none,none,4,532,"86,749",none,none,公办
材料类,南京工程学院,none,none,none,6,533,"86,336",2,530,"89,049",none,none,公办
财务管理,南京工程学院,2,567,"58,388",none,none,none,2,551,"58,146",none,none,公办
大数据管理与应用,南京工程学院,none,none,none,2,550,"60,485",2,547,"63,248",none,none,公办
电气工程及其自动化(电力系统及其自动化),南京工程学院,3,589,"35,406",3,575,"34,069",3,578,"29,764",none,none,公办
电气工程及其自动化(输配电工程),南京工程学院,3,577,"47,370",3,570,"38,460",3,573,"34,492",none,none,公办
电气工程及其自动化(中外合作办学),南京工程学院,none,none,none,5,551,"59,892",5,551,"58,455",none,none,公办
电气工程与智能控制,南京工程学院,2,574,"50,379",2,563,"45,731",2,569,"37,717",none,none,公办
工程造价,南京工程学院,2,566,"59,768",2,548,"62,903",2,544,"67,655",none,none,公办
工业工程,南京工程学院,4,549,"82,297",2,548,"63,543",2,541,"71,489",none,none,公办
核工程与核技术,南京工程学院,3,561,"66,412",none,none,none,none,none,none,none,none,公办
环境工程,南京工程学院,3,554,"75,921",none,none,none,none,none,none,none,none,公办
环境科学与工程类,南京工程学院,none,none,none,7,536,"81,298",8,529,"90,692",none,none,公办
会计学,南京工程学院,2,573,"51,187",2,557,"52,440",2,554,"53,841",none,none,公办
机器人工程,南京工程学院,2,568,"56,984",2,552,"57,985",2,549,"60,301",none,none,公办
机械类,南京工程学院,4,569,"55,954",4,552,"57,754",6,547,"63,232",none,none,公办
计算机科学与技术,南京工程学院,4,569,"55,508",2,558,"50,562",2,560,"46,971",none,none,公办
建筑环境与能源应用工程,南京工程学院,2,552,"77,470",none,none,none,none,none,none,none,none,公办
建筑学,南京工程学院,2,564,"62,417",2,549,"61,588",2,547,"63,969",none,none,公办
交通设备与控制工程,南京工程学院,none,none,none,2,539,"75,860",2,541,"71,563",none,none,公办
劳动与社会保障,南京工程学院,2,553,"77,212",2,540,"73,990",2,536,"79,523",none,none,公办
能源动力类,南京工程学院,3,565,"60,727",7,550,"60,401",8,545,"65,893",none,none,公办
汽车服务工程,南京工程学院,4,537,"101,378",none,none,none,none,none,none,none,none,公办
软件工程(中外合作办学),南京工程学院,10,539,"97,793",6,533,"85,872",6,532,"86,651",none,none,公办
