山东省2020年普通类常规批第1次志愿投档情况表,,,,,,,,
专业,院校,普通类,,,,,,
,,计划数,投档计划数,投出数,最低分,最低位次,,
07工业工程类,A079华北电力大学(保定),4,4,4,609,20956,,
09计算机类,A079华北电力大学(保定),14,14,14,616,16694,,
0A经济学类,A079华北电力大学(保定),3,3,3,612,18937,,
0B工商管理类,A079华北电力大学(保定),5,5,5,612,18880,,
0C管理科学与工程类,A079华北电力大学(保定),7,7,7,609,20854,,
0D环境科学与工程类,A079华北电力大学(保定),10,10,10,608,21354,,
0E数学类,A079华北电力大学(保定),7,7,7,613,18332,,
0F物理学类,A079华北电力大学(保定),3,3,3,611,19737,,
0G外国语言文学类,A079华北电力大学(保定),4,4,4,606,22874,,
0H法学类,A079华北电力大学(保定),3,3,3,611,19671,,
0J公共管理类,A079华北电力大学(保定),6,6,6,603,24982,,
01数学类,A080河北工业大学,2,2,2,613,18615,,
03应用统计学,A080河北工业大学,2,2,2,617,16465,,
04机械类,A080河北工业大学,3,3,3,611,19640,,
05测控技术与仪器,A080河北工业大学,2,2,2,607,22023,,
08能源与动力工程,A080河北工业大学,2,2,2,610,20161,,
0D生物医学工程,A080河北工业大学,3,3,3,606,22489,,
0K过程装备与控制工程,A080河北工业大学,2,2,2,609,20887,,
0L应用化学,A080河北工业大学,2,2,2,607,21908,,
0M安全工程,A080河北工业大学,2,2,2,604,23830,,
0N海洋技术,A080河北工业大学,3,3,3,603,24951,,
0U工程管理,A080河北工业大学,3,3,3,604,23725,,
0X会计学,A080河北工业大学,3,3,3,610,20418,,
0Y金融学,A080河北工业大学,2,2,2,612,19065,,
0Z材料类,A080河北工业大学,2,2,2,609,21085,,
10材料成型及控制工程,A080河北工业大学,2,2,2,608,21678,,
14法学,A080河北工业大学,2,2,2,611,19570,,
15公共管理类,A080河北工业大学,3,3,3,605,23320,,
16汉语国际教育,A080河北工业大学,2,2,2,605,23551,,
17英语,A080河北工业大学,2,2,2,607,22388,,
19日语,A080河北工业大学,3,3,3,600,26687,,
1A建筑学,A080河北工业大学,3,3,3,608,21343,,
1B城乡规划,A080河北工业大学,2,2,2,602,25647,,
1E机械设计制造及其自动化,A080河北工业大学,2,2,2,575,49198,,
1F能源与动力工程,A080河北工业大学,3,3,3,559,67898,,
1G电气工程及其自动化,A080河北工业大学,2,2,2,613,18415,,
1H计算机科学与技术,A080河北工业大学,2,2,2,601,25785,,
1L自动化,A080河北工业大学,2,2,2,614,18130,,
0B环境工程(中外合作办学),A080河北工业大学,4,4,4,590,34155,,
1Q计算机科学与技术(中外合作办学),A080河北工业大学,4,4,4,596,29325,,
1R物联网工程(中外合作办学),A080河北工业大学,4,4,4,590,34201,,
0M高分子材料与工程,A081华北理工大学,2,2,2,567,58639,,
0P无机非金属材料工程,A081华北理工大学,8,8,8,548,84419,,
0Q复合材料与工程,A081华北理工大学,4,4,4,549,82834,,
0S测控技术与仪器,A081华北理工大学,2,2,2,560,67040,,
0W自动化,A081华北理工大学,5,5,5,571,53730,,
0X电子科学与技术,A081华北理工大学,4,4,4,564,62333,,
15会计学,A081华北理工大学,2,2,2,582,41899,,
1A护理学,A081华北理工大学,18,18,18,530,113004,,
1C康复治疗学,A081华北理工大学,5,5,5,552,77908,,
1E化学,A081华北理工大学,2,2,2,575,49271,,
1G应用化学,A081华北理工大学,2,2,2,568,57419,,
1J化学工程与工艺,A081华北理工大学,4,4,4,558,69888,,
1L环境工程,A081华北理工大学,3,3,3,556,72354,,
1P能源化学工程,A081华北理工大学,6,6,6,551,79318,,
1S工业工程,A081华北理工大学,5,5,5,546,87117,,
1U过程装备与控制工程,A081华北理工大学,4,4,4,545,88336,,
21临床医学,A081华北理工大学,8,8,8,594,31335,,
22医学影像学,A081华北理工大学,2,2,2,586,38230,,
23麻醉学,A081华北理工大学,2,2,2,587,37403,,
24医学检验技术,A081华北理工大学,2,2,2,576,47735,,
2W工程管理,A081华北理工大学,8,8,8,544,89657,,
32物流工程,A081华北理工大学,3,3,3,551,79807,,
33土木工程,A081华北理工大学,5,5,5,553,76635,,
35国际经济与贸易,A081华北理工大学,13,13,13,551,78844,,
37金融学,A081华北理工大学,2,2,2,566,59991,,
39经济统计学,A081华北理工大学,14,14,14,555,73566,,
3B口腔医学,A081华北理工大学,2,2,2,593,32151,,
3D安全工程,A081华北理工大学,4,4,4,548,83982,,
3E采矿工程,A081华北理工大学,3,3,3,538,99923,,
3F测绘工程,A081华北理工大学,2,2,2,546,86349,,
3G地理信息科学,A081华北理工大学,2,2,2,559,68348,,
3H矿物加工工程,A081华北理工大学,2,2,2,541,94482,,
3K资源勘查工程,A081华北理工大学,2,2,2,532,109209,,
3L数学与应用数学,A081华北理工大学,4,4,4,563,62568,,
3M信息与计算科学,A081华北理工大学,3,3,3,563,62780,,
3S电子信息科学与技术,A081华北理工大学,5,5,5,565,61052,,
3V通信工程,A081华北理工大学,3,3,3,563,62693,,
3Z法学,A081华北理工大学,9,9,9,565,60478,,
42生物技术,A081华北理工大学,6,6,6,560,67467,,
45日语,A081华北理工大学,2,2,2,560,67396,,
46英语,A081华北理工大学,6,6,6,564,61662,,
4A汉语国际教育,A081华北理工大学,3,3,3,558,69462,,
4D应用心理学,A081华北理工大学,3,3,3,573,50934,,
4E精神医学,A081华北理工大学,7,7,7,558,69629,,
4F药学,A081华北理工大学,3,3,3,568,56720,,
4H药物制剂,A081华北理工大学,2,2,2,574,50591,,
4K中药学,A081华北理工大学,8,8,8,549,83044,,
4M材料成型及控制工程,A081华北理工大学,2,2,2,550,81313,,
4N金属材料工程,A081华北理工大学,3,3,3,553,76153,,
4P能源与动力工程,A081华北理工大学,2,2,2,560,67545,,
4Q冶金工程,A081华北理工大学,6,6,6,542,93005,,
4R新能源科学与工程,A081华北理工大学,3,3,3,558,70105,,
52中医学,A081华北理工大学,4,4,4,575,49586,,
56中西医临床医学,A081华北理工大学,2,2,2,578,45743,,
5A医学实验技术,A081华北理工大学,2,2,2,560,67069,,
0U电气工程及其自动化(中外合作办学),A081华北理工大学,10,10,10,513,145134,,
1W机械设计制造及其自动化(中外合作办学),A081华北理工大学,10,10,10,492,186684,,
58化学(中外合作办学),A081华北理工大学,15,15,15,473,224900,,
B2材料成型及控制工程,A082河北科技大学,2,2,2,544,89935,,
C1自动化,A082河北科技大学,5,5,5,556,72351,,
C2电气工程及其自动化,A082河北科技大学,8,8,8,554,75083,,
C4飞行器设计与工程,A082河北科技大学,5,5,5,549,82181,,
D1机械电子工程,A082河北科技大学,5,5,5,547,86231,,
D2过程装备与控制工程,A082河北科技大学,2,2,2,543,91769,,
D3机械设计制造及其自动化,A082河北科技大学,8,8,8,550,81366,,
D5车辆工程,A082河北科技大学,5,5,5,544,89687,,
E3通信工程,A082河北科技大学,8,8,8,552,78032,,
E4电子科学与技术,A082河北科技大学,8,8,8,553,76237,,
F1国际经济与贸易,A082河北科技大学,3,3,3,549,82770,,
FA工商管理类,A082河北科技大学,6,6,6,549,81942,,
G2应用化学,A082河北科技大学,4,4,4,550,80359,,
H3汉语言文学,A082河北科技大学,3,3,3,562,64555,,
H4社会工作,A082河北科技大学,3,3,3,539,97387,,
J1化学工程与工艺,A082河北科技大学,3,3,3,547,85070,,
J3药学类,A082河北科技大学,3,3,3,549,82064,,
K2给排水科学与工程,A082河北科技大学,2,2,2,547,85113,,
K3安全工程,A082河北科技大学,3,3,3,544,90241,,
M1土木工程,A082河北科技大学,5,5,5,546,86699,,
M2建筑环境与能源应用工程,A082河北科技大学,5,5,5,541,95404,,
M3工程管理,A082河北科技大学,5,5,5,536,103083,,
N2法语,A082河北科技大学,10,10,10,548,84134,,
N3汉语国际教育,A082河北科技大学,5,5,5,549,82965,,
P1生物工程,A082河北科技大学,2,2,2,556,72049,,
P2食品科学与工程,A082河北科技大学,2,2,2,549,82267,,
P3生物科学类,A082河北科技大学,2,2,2,558,69758,,
Q1纺织工程,A082河北科技大学,1,1,1,542,93086,,
Q3服装设计与工程,A082河北科技大学,1,1,1,544,89546,,
01土木工程,A084河北建筑工程学院,2,2,2,505,159382,,
03道路桥梁与渡河工程,A084河北建筑工程学院,2,2,2,500,169787,,
06机械设计制造及其自动化,A084河北建筑工程学院,2,2,2,502,164994,,
07机械电子工程,A084河北建筑工程学院,3,3,3,502,166031,,
09车辆工程,A084河北建筑工程学院,3,3,3,502,165256,,
10工业设计,A084河北建筑工程学院,2,2,2,493,184671,,
12建筑电气与智能化,A084河北建筑工程学院,2,2,2,503,163560,,
13电子信息工程,A084河北建筑工程学院,2,2,2,503,163108,,
15建筑学,A084河北建筑工程学院,1,1,1,536,103607,,
16城乡规划,A084河北建筑工程学院,2,2,2,505,160501,,
20工程管理,A084河北建筑工程学院,2,2,2,500,170016,,
21工程造价,A084河北建筑工程学院,2,2,2,504,161491,,
22财务管理,A084河北建筑工程学院,2,2,2,512,145391,,
23房地产开发与管理,A084河北建筑工程学院,2,2,2,492,185842,,
30给排水科学与工程,A084河北建筑工程学院,2,2,2,497,176007,,
31环境工程,A084河北建筑工程学院,2,2,2,499,172637,,
32消防工程,A084河北建筑工程学院,2,2,2,501,166941,,
33信息与计算科学,A084河北建筑工程学院,2,2,2,496,177066,,
34理论与应用力学,A084河北建筑工程学院,2,2,2,479,212224,,
35应用统计学,A084河北建筑工程学院,2,2,2,499,171961,,
37德语,A084河北建筑工程学院,2,2,2,501,167898,,
38信息资源管理,A084河北建筑工程学院,2,2,2,501,167723,,
39信息管理与信息系统,A084河北建筑工程学院,2,2,2,492,185263,,
40能源动力类,A084河北建筑工程学院,6,6,6,496,178556,,
01机械类,A085河北水利电力学院,4,4,4,497,176271,,
05计算机类,A085河北水利电力学院,8,8,8,499,170961,,
07工商管理类,A085河北水利电力学院,12,12,12,495,180036,,
08水利水电工程,A085河北水利电力学院,6,6,6,501,168366,,
09测绘工程,A085河北水利电力学院,4,4,4,500,170004,,
0C交通工程,A085河北水利电力学院,2,2,2,494,181672,,
0D工程造价,A085河北水利电力学院,4,4,4,497,176468,,
01临床医学（5+3一体化）,A089河北医科大学,5,5,5,616,16848,,
04临床医学,A089河北医科大学,10,10,10,611,19565,,
0B预防医学,A089河北医科大学,2,2,2,601,26079,,
0F药学类,A089河北医科大学,3,3,3,595,30431,,
0L医学影像技术,A089河北医科大学,2,2,2,601,25913,,
0P护理学,A089河北医科大学,8,8,8,565,61154,,
01临床医学,A092河北北方学院,5,5,5,548,83880,,
03医学影像学,A092河北北方学院,2,2,2,547,85486,,
07医学检验技术,A092河北北方学院,3,3,3,534,106395,,
01临床医学,A093承德医学院,4,4,4,559,68063,,
05中西医临床医学,A093承德医学院,4,4,4,553,76229,,
12护理学,A093承德医学院,3,3,3,526,120142,,
13生物医学工程,A093承德医学院,3,3,3,505,159037,,
01经济与贸易类,A094河北师范大学,5,5,5,573,51850,,
02法学类,A094河北师范大学,4,4,4,580,44569,,
04公共管理类,A094河北师范大学,5,5,5,571,53866,,
06化学,A094河北师范大学,6,6,6,579,44680,,
0A计算机类,A094河北师范大学,6,6,6,575,48899,,
0E历史学类,A094河北师范大学,6,6,6,582,41574,,
0Q生物科学类,A094河北师范大学,3,3,3,581,43440,,
0S数学类,A094河北师范大学,6,6,6,580,43598,,
0Y外国语言文学类,A094河北师范大学,5,5,5,584,40319,,
15中国语言文学类,A094河北师范大学,6,6,6,584,40095,,
17物理学类,A094河北师范大学,6,6,6,579,44842,,
1A新闻传播学类,A094河北师范大学,4,4,4,581,43306,,
1D家政学,A094河北师范大学,3,3,3,509,151566,,
1E学前教育,A094河北师范大学,4,4,4,575,49568,,
1H电气工程及其自动化,A094河北师范大学,5,5,5,571,53630,,
1M电子信息类,A094河北师范大学,6,6,6,571,53581,,
1N建筑环境与能源应用工程,A094河北师范大学,7,7,7,500,170021,,
1P地理科学类,A094河北师范大学,4,4,4,581,43174,,
Z6软件工程,A094河北师范大学,8,8,8,570,54450,,
11汉语言文学,A096保定学院,1,1,1,521,128777,,
12秘书学,A096保定学院,1,1,1,509,152868,,
21思想政治教育,A096保定学院,1,1,1,536,103128,,
22知识产权,A096保定学院,1,1,1,518,135726,,
23投资学,A096保定学院,1,1,1,511,149136,,
31历史学,A096保定学院,1,1,1,526,120399,,
33文物与博物馆学,A096保定学院,1,1,1,511,148945,,
41英语,A096保定学院,1,1,1,524,123963,,
42日语,A096保定学院,1,1,1,530,114047,,
51数学与应用数学,A096保定学院,1,1,1,518,134889,,
52软件工程,A096保定学院,1,1,1,508,155011,,
61物理学,A096保定学院,1,1,1,501,167842,,
62汽车服务工程,A096保定学院,1,1,1,493,183581,,
71化学,A096保定学院,1,1,1,506,158821,,
72生物科学,A096保定学院,1,1,1,511,148040,,
74环境生态工程,A096保定学院,1,1,1,510,149205,,
92人文地理与城乡规划,A096保定学院,1,1,1,507,156764,,
93旅游管理与服务教育,A096保定学院,1,1,1,506,157346,,
A2小学教育,A096保定学院,1,1,1,525,121535,,
A3学前教育,A096保定学院,1,1,1,529,115223,,
A4特殊教育,A096保定学院,1,1,1,515,140561,,
B2物联网工程,A096保定学院,1,1,1,511,148331,,
B3网络与新媒体,A096保定学院,1,1,1,515,140106,,
C1人力资源管理,A096保定学院,1,1,1,527,118004,,
C2物流工程,A096保定学院,1,1,1,503,164337,,
0A计算机科学与技术,A098河北民族师范学院,11,11,11,491,188712,,
0J英语,A098河北民族师范学院,5,5,5,519,132507,,
98财务管理,A098河北民族师范学院,8,8,8,499,172084,,
14地理科学,A099唐山师范学院,7,7,7,513,143495,,
17旅游管理,A099唐山师范学院,5,5,5,494,181088,,
24数学与应用数学,A099唐山师范学院,10,10,10,499,171508,,
27信息管理与信息系统,A099唐山师范学院,5,5,5,491,188593,,
30电子信息科学与技术,A099唐山师范学院,6,6,6,492,186735,,
36园艺,A099唐山师范学院,5,5,5,495,180139,,
01汉语言文学,A100廊坊师范学院,3,3,3,530,113637,,
08英语,A100廊坊师范学院,4,4,4,527,118553,,
0C数学与应用数学,A100廊坊师范学院,4,4,4,513,144405,,
0D物理学,A100廊坊师范学院,4,4,4,506,157173,,
3A材料化学,A100廊坊师范学院,4,4,4,499,172756,,
44生物科学类,A100廊坊师范学院,5,5,5,512,145561,,
CV新闻学,A100廊坊师范学院,3,3,3,521,130022,,
02思想政治教育,A101衡水学院,2,2,2,512,147167,,
03政治学与行政学,A101衡水学院,2,2,2,502,165920,,
04英语,A101衡水学院,3,3,3,509,152157,,
08社会工作,A101衡水学院,3,3,3,497,175525,,
15国际经济与贸易,A101衡水学院,2,2,2,497,176387,,
17财务管理,A101衡水学院,3,3,3,496,177132,,
19电子商务,A101衡水学院,2,2,2,496,177144,,
20环境生态工程,A101衡水学院,3,3,3,496,177575,,
21数学与应用数学,A101衡水学院,3,3,3,497,175407,,
22计算机科学与技术,A101衡水学院,2,2,2,493,183978,,
24网络工程,A101衡水学院,3,3,3,490,190670,,
25电子信息工程,A101衡水学院,3,3,3,491,189055,,
26数字媒体技术,A101衡水学院,3,3,3,492,186486,,
27机械电子工程,A101衡水学院,3,3,3,489,191342,,
30应用化学,A101衡水学院,2,2,2,495,179354,,
32化学工程与工艺,A101衡水学院,2,2,2,494,181831,,
35高分子材料与工程,A101衡水学院,2,2,2,493,184606,,
36生物科学,A101衡水学院,2,2,2,505,159546,,
37生物技术,A101衡水学院,2,2,2,495,180673,,
39城市管理,A101衡水学院,2,2,2,494,182939,,
61智能科学与技术,A101衡水学院,3,3,3,489,193034,,
06化学,A102石家庄学院,5,5,5,503,164209,,
19社会工作,A102石家庄学院,5,5,5,501,168100,,
20思想政治教育,A102石家庄学院,5,5,5,510,150852,,
30物理学,A102石家庄学院,5,5,5,498,174200,,
40数学与应用数学,A102石家庄学院,5,5,5,499,171159,,
48文化产业管理,A102石家庄学院,8,8,8,497,176340,,
05思想政治教育,A104邢台学院,5,5,5,503,164726,,
0F数学与应用数学,A104邢台学院,5,5,5,496,177317,,
0Z化学工程与工艺,A104邢台学院,5,5,5,493,184800,,
14财务管理,A104邢台学院,5,5,5,496,177268,,
01汉语言文学,A105沧州师范学院,2,2,2,515,141016,,
03英语,A105沧州师范学院,2,2,2,516,138839,,
20数学与应用数学,A105沧州师范学院,2,2,2,502,165569,,
22物理学,A105沧州师范学院,2,2,2,506,158728,,
26计算机科学与技术,A105沧州师范学院,2,2,2,499,172481,,
00汉语言文学,A107石家庄铁道大学,2,2,2,566,59915,,
01土木工程,A107石家庄铁道大学,7,7,7,574,50451,,
02安全工程,A107石家庄铁道大学,3,3,3,562,63931,,
03铁道工程,A107石家庄铁道大学,8,8,8,571,53883,,
04测绘工程,A107石家庄铁道大学,3,3,3,565,60211,,
05勘查技术与工程,A107石家庄铁道大学,6,6,6,550,80758,,
06城市地下空间工程,A107石家庄铁道大学,4,4,4,570,54578,,
07机械设计制造及其自动化,A107石家庄铁道大学,2,2,2,572,52780,,
09建筑环境与能源应用工程,A107石家庄铁道大学,4,4,4,557,71263,,
0B机械电子工程,A107石家庄铁道大学,2,2,2,567,58113,,
0C测控技术与仪器,A107石家庄铁道大学,4,4,4,563,63081,,
0D车辆工程,A107石家庄铁道大学,5,5,5,567,57792,,
0E工商管理类,A107石家庄铁道大学,12,12,12,560,66925,,
0F市场营销,A107石家庄铁道大学,2,2,2,559,68814,,
0G物流管理,A107石家庄铁道大学,9,9,9,557,71600,,
0J工程管理,A107石家庄铁道大学,2,2,2,568,56547,,
0K信息管理与信息系统,A107石家庄铁道大学,2,2,2,570,54778,,
0N法学,A107石家庄铁道大学,3,3,3,563,63238,,
0P交通运输类,A107石家庄铁道大学,6,6,6,575,49014,,
0Q交通运输,A107石家庄铁道大学,3,3,3,581,42953,,
0R建筑学,A107石家庄铁道大学,4,4,4,565,60516,,
0U材料类,A107石家庄铁道大学,4,4,4,562,64037,,
0V自动化类,A107石家庄铁道大学,4,4,4,574,50484,,
0W电气工程及其自动化,A107石家庄铁道大学,6,6,6,579,45584,,
0X电气工程及其自动化,A107石家庄铁道大学,2,2,2,585,38699,,
0Y电子信息工程,A107石家庄铁道大学,3,3,3,571,53798,,
10计算机类,A107石家庄铁道大学,11,11,11,571,53358,,
13工程力学,A107石家庄铁道大学,3,3,3,561,65424,,
14数学与应用数学,A107石家庄铁道大学,4,4,4,563,63130,,
15应用物理学,A107石家庄铁道大学,4,4,4,562,64245,,
16英语,A107石家庄铁道大学,2,2,2,564,61982,,
17土木工程,A107石家庄铁道大学,3,3,3,582,42005,,
18机械设计制造及其自动化,A107石家庄铁道大学,3,3,3,579,45061,,
08机械设计制造及其自动化(中外合作办学),A107石家庄铁道大学,10,10,10,537,101653,,
01汉语言文学,A108山西大学,10,10,10,584,40442,,
04历史学,A108山西大学,6,6,6,587,37606,,
05考古学,A108山西大学,3,3,3,581,43279,,
06旅游管理,A108山西大学,4,4,4,578,46334,,
07哲学类,A108山西大学,3,3,3,588,36591,,
09政治学类,A108山西大学,3,3,3,583,40787,,
10英语,A108山西大学,2,2,2,588,36720,,
11俄语,A108山西大学,2,2,2,578,45606,,
12德语,A108山西大学,2,2,2,580,44448,,
16教育学,A108山西大学,4,4,4,582,42414,,
18应用心理学,A108山西大学,3,3,3,587,37128,,
19经济学类,A108山西大学,13,13,13,582,42386,,
21法学,A108山西大学,5,5,5,595,30734,,
22新闻传播学类,A108山西大学,3,3,3,583,41438,,
24计算机科学与技术,A108山西大学,13,13,13,590,34192,,
25数据科学与大数据技术,A108山西大学,10,10,10,586,38477,,
26物理学,A108山西大学,4,4,4,596,29453,,
28电子信息科学与技术,A108山西大学,6,6,6,586,38159,,
37自然地理与资源环境,A108山西大学,4,4,4,577,47440,,
6B环境科学与工程类,A108山西大学,5,5,5,580,44147,,
6C化学类,A108山西大学,10,10,10,581,43201,,
6D生物科学类,A108山西大学,11,11,11,580,43863,,
01机械设计制造及其自动化,A109太原科技大学,16,16,16,531,111258,,
02机械电子工程,A109太原科技大学,4,4,4,531,111274,,
06车辆工程（新能源汽车方向）,A109太原科技大学,4,4,4,535,104378,,
07材料成型及控制工程,A109太原科技大学,10,10,10,519,133339,,
08焊接技术与工程,A109太原科技大学,2,2,2,519,132781,,
09材料科学与工程,A109太原科技大学,2,2,2,535,104359,,
0A冶金工程,A109太原科技大学,2,2,2,521,128645,,
0B功能材料,A109太原科技大学,2,2,2,519,132981,,
0C自动化,A109太原科技大学,6,6,6,535,103992,,
0D电气工程及其自动化,A109太原科技大学,4,4,4,535,104341,,
0E电子信息工程,A109太原科技大学,2,2,2,541,94341,,
0F工程力学,A109太原科技大学,2,2,2,526,119726,,
0G光电信息科学与工程,A109太原科技大学,2,2,2,536,102930,,
0H数据计算及应用,A109太原科技大学,2,2,2,534,106226,,
0J应用统计学,A109太原科技大学,4,4,4,525,121382,,
0L环境科学,A109太原科技大学,2,2,2,529,115522,,
0M环保设备工程,A109太原科技大学,2,2,2,525,121496,,
0N环境生态工程,A109太原科技大学,2,2,2,527,118620,,
0Q交通工程,A109太原科技大学,2,2,2,527,117910,,
0R物流工程,A109太原科技大学,2,2,2,536,102999,,
0S化学工程与工艺,A109太原科技大学,2,2,2,533,108217,,
0T过程装备与控制工程,A109太原科技大学,2,2,2,524,124131,,
0V油气储运工程,A109太原科技大学,2,2,2,524,124063,,
0W能源化学工程,A109太原科技大学,2,2,2,529,115479,,
0Y计算机科学与技术,A109太原科技大学,2,2,2,556,71935,,
0Z软件工程,A109太原科技大学,2,2,2,553,76310,,
10物联网工程,A109太原科技大学,2,2,2,543,91866,,
11智能科学与技术,A109太原科技大学,2,2,2,544,89840,,
13经济学,A109太原科技大学,2,2,2,541,95436,,
14会计学,A109太原科技大学,2,2,2,547,85826,,
16信息管理与信息系统,A109太原科技大学,2,2,2,537,100903,,
17工业工程（标准化方向）,A109太原科技大学,2,2,2,526,119929,,
13兵器类,A110中北大学,16,16,16,576,47737,,
14航空航天类,A110中北大学,8,8,8,578,45966,,
15机械类,A110中北大学,19,19,19,566,59698,,
16材料类,A110中北大学,27,27,27,558,69243,,
17材料成型及控制工程,A110中北大学,4,4,4,561,65789,,
18化工与制药类,A110中北大学,14,14,14,558,69580,,
19生物工程,A110中北大学,6,6,6,565,60199,,
20电子信息类,A110中北大学,20,20,20,571,53700,,
21生物医学工程,A110中北大学,2,2,2,567,58497,,
22仪器类,A110中北大学,18,18,18,572,52195,,
23计算机类,A110中北大学,12,12,12,572,52292,,
24数学类,A110中北大学,8,8,8,567,57799,,
25土木类,A110中北大学,10,10,10,562,64800,,
26工程力学,A110中北大学,4,4,4,561,65355,,
27统计学,A110中北大学,4,4,4,563,62914,,
28应用化学,A110中北大学,5,5,5,564,62493,,
29应用物理学,A110中北大学,8,8,8,559,68545,,
30工商管理类,A110中北大学,21,21,21,559,68906,,
31工业工程,A110中北大学,4,4,4,559,69116,,
32广播电视学,A110中北大学,7,7,7,557,70707,,
33英语,A110中北大学,11,11,11,563,63567,,
39特种能源技术与工程,A110中北大学,8,8,8,561,65239,,
40环境工程,A110中北大学,4,4,4,559,68285,,
41安全工程,A110中北大学,10,10,10,559,67905,,
42自动化类,A110中北大学,11,11,11,567,58692,,
43电气类,A110中北大学,13,13,13,569,55390,,
44能源动力类,A110中北大学,10,10,10,564,61684,,
45车辆工程,A110中北大学,4,4,4,565,61178,,
46包装工程,A110中北大学,3,3,3,555,74555,,
48新能源材料与器件,A110中北大学,2,2,2,564,61811,,
01机械设计制造及其自动化,A112太原理工大学,14,14,14,600,26427,,
02车辆工程,A112太原理工大学,6,6,6,600,26900,,
03工业设计,A112太原理工大学,2,2,2,598,27970,,
04材料成型及控制工程,A112太原理工大学,8,8,8,596,29446,,
06材料科学与工程,A112太原理工大学,11,11,11,598,28412,,
07材料科学与工程（先进航空材料）,A112太原理工大学,2,2,2,599,27517,,
0B能源与动力工程,A112太原理工大学,4,4,4,600,26770,,
0C自动化,A112太原理工大学,6,6,6,602,25348,,
0D通信工程,A112太原理工大学,4,4,4,603,24777,,
0E电子信息工程,A112太原理工大学,6,6,6,604,24005,,
0G电子科学与技术,A112太原理工大学,3,3,3,603,24648,,
0M建筑学,A112太原理工大学,4,4,4,599,27140,,
0N城乡规划,A112太原理工大学,4,4,4,596,29462,,
0R化学工程与工艺,A112太原理工大学,6,6,6,598,27937,,
0S制药工程,A112太原理工大学,2,2,2,600,26804,,
0T化学工程与工艺（试验班）,A112太原理工大学,2,2,2,600,26515,,
0W环境工程,A112太原理工大学,6,6,6,597,28962,,
0Y建筑环境与能源应用工程,A112太原理工大学,6,6,6,595,30740,,
10安全工程,A112太原理工大学,2,2,2,599,27679,,
11城市地下空间工程,A112太原理工大学,4,4,4,596,29735,,
13测绘工程,A112太原理工大学,4,4,4,595,30183,,
16地质工程,A112太原理工大学,2,2,2,597,28578,,
17物流管理（航空物流）,A112太原理工大学,2,2,2,598,27850,,
18数学与应用数学,A112太原理工大学,2,2,2,605,23092,,
19信息与计算科学,A112太原理工大学,6,6,6,602,25439,,
1B光电信息科学与工程,A112太原理工大学,6,6,6,600,26509,,
1C应用物理学,A112太原理工大学,3,3,3,599,27264,,
1E工程力学,A112太原理工大学,3,3,3,598,28406,,
1F生物医学工程,A112太原理工大学,3,3,3,602,25149,,
1G法学,A112太原理工大学,5,5,5,605,23221,,
1H行政管理,A112太原理工大学,3,3,3,602,25510,,
1J英语,A112太原理工大学,4,4,4,601,25775,,
1K英语（英俄双语方向）,A112太原理工大学,2,2,2,599,27317,,
1L英语（英日双语方向）,A112太原理工大学,4,4,4,601,26289,,
1N工程管理,A112太原理工大学,6,6,6,597,29014,,
1P会计学,A112太原理工大学,2,2,2,604,24091,,
1Q国际经济与贸易,A112太原理工大学,3,3,3,602,25280,,
1R计算机科学与技术,A112太原理工大学,6,6,6,607,22193,,
1V水利水电工程,A112太原理工大学,4,4,4,596,29438,,
23文物保护技术,A112太原理工大学,2,2,2,597,28789,,
24机械电子工程,A112太原理工大学,12,12,12,598,27898,,
26道路桥梁与渡河工程,A112太原理工大学,2,2,2,597,28764,,
2C电气工程及其自动化（试验班）,A112太原理工大学,2,2,2,609,21010,,
2D土木工程（试验班）,A112太原理工大学,2,2,2,600,26512,,
2E思想政治教育,A112太原理工大学,4,4,4,601,26110,,
2F电气工程及其自动化,A112太原理工大学,8,8,8,604,23838,,
2G物流管理,A112太原理工大学,2,2,2,598,28245,,
2H土木工程,A112太原理工大学,5,5,5,597,28556,,
2M数据科学与大数据技术,A112太原理工大学,6,6,6,604,23874,,
2Q过程装备与控制工程,A112太原理工大学,3,3,3,596,29478,,
2U给排水科学与工程,A112太原理工大学,2,2,2,596,29365,,
2W机器人工程,A112太原理工大学,4,4,4,602,25554,,
2Y物联网工程,A112太原理工大学,2,2,2,606,22455,,
3A飞行器设计与工程,A112太原理工大学,2,2,2,598,28058,,
3J机器人工程（试验班）,A112太原理工大学,2,2,2,608,21518,,
01农学,A113山西农业大学,8,8,8,509,151622,,
02农学（本硕统筹培养）,A113山西农业大学,2,2,2,523,125219,,
03制药工程,A113山西农业大学,2,2,2,517,137323,,
04植物保护,A113山西农业大学,5,5,5,508,154460,,
05动植物检疫（植物检疫方向）,A113山西农业大学,3,3,3,506,157821,,
06动物科学,A113山西农业大学,6,6,6,506,158139,,
07动物医学,A113山西农业大学,2,2,2,528,116355,,
08动植物检疫,A113山西农业大学,2,2,2,507,155360,,
09草业科学,A113山西农业大学,3,3,3,508,154633,,
10生态学,A113山西农业大学,2,2,2,505,160689,,
11水土保持与荒漠化防治,A113山西农业大学,5,5,5,504,161771,,
12林学,A113山西农业大学,3,3,3,506,158342,,
13林学（森林康养方向）,A113山西农业大学,1,1,1,507,155987,,
14园林,A113山西农业大学,5,5,5,510,150959,,
15森林保护,A113山西农业大学,2,2,2,503,164077,,
16地理信息科学,A113山西农业大学,3,3,3,522,126808,,
