专业代号及名称,院校代号及名称,投档计划数,投档最低位次
C2电气工程及其自动化,A082河北科技大学,8,71574
33电气工程及其自动化,A464河南科技大学,6,72056
54电气工程及其自动化,A736西北师范大学,2,72325
0W电气工程及其自动化,A731兰州理工大学,2,74458
14电气工程及其自动化,A146辽宁科技大学,1,74578
07电气工程及其自动化,A463河南工业大学,8,74698
19电气工程及其自动化,A154辽宁工业大学,4,76125
09电气工程及其自动化,A220东北石油大学,5,76371
48建筑电气与智能化,A595桂林电子科技大学,2,77737
77电气工程及其自动化,Y000哈尔滨理工大学,38,78095
10电气工程及其自动化,A017北京石油化工学院,3,78261
90电气工程与智能控制,Y000哈尔滨理工大学,10,78597
0V电气工程及其自动化,A431齐鲁工业大学,85,79313
01电气工程及其自动化,B437长春工程学院,2,79485
0M电气工程及其自动化,A076河北工程大学,2,79832
21电气工程及其自动化,A190长春工业大学,1,79863
0V电气工程及其自动化,A364安徽农业大学,2,80281
05电气类,B458上海电机学院,4,81051
04建筑电气与智能化,A429青岛理工大学,34,82496
0D电气工程及其自动化,A109太原科技大学,4,86219
55电气工程及其自动化,A513湖北师范大学,2,86230
0B电气工程及其自动化,B062厦门理工学院,3,86414
3K电气工程及其自动化,A446曲阜师范大学,33,90792
61电气工程及其自动化,A462郑州轻工业大学,6,91430
0R电气工程及其自动化(高密校区),Y003青岛科技大学,30,93308
09电气工程及其自动化(航空电气设备维修),A624中国民用航空飞行学院,5,94486
0R电气工程及其自动化,A430山东建筑大学,101,96170
3J电气工程及其自动化(地方专项计划),A446曲阜师范大学,10,98080
01电气工程及其自动化,A219黑龙江科技大学,3,99135
B2电气工程及其自动化,A216燕山大学,4,99539
28建筑电气与智能化,B048金陵科技学院,1,99652
0Z建筑电气与智能化,A878安徽建筑大学,2,101943
03电气工程及其自动化,A451鲁东大学,68,104618
17电气工程及其自动化,B736西安航空学院,3,109270
04电气工程与智能控制,A219黑龙江科技大学,3,110116
3B电气工程及其自动化,A531吉首大学,2,110794
56电气工程及其自动化(中外合作办学)(中美合作办学),A500湖北工业大学,15,111459
16电气工程与智能控制,B629北华航天工业学院,1,111528
09电气工程及其自动化,B058宁波工程学院,4,111595
2K电气工程及其自动化,B726长春大学,2,111665
0Y电气工程及其自动化,A157沈阳农业大学,3,112864
22电气工程及其自动化,A679大理大学,2,112908
C3电气工程及其自动化,A149沈阳化工大学,5,113807
