专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0Q材料物理(半导体芯片制造方向),A490武汉工程大学,2,48569
C0材料成型及控制工程,A060天津理工大学,3,48904
04材料类,A708陕西科技大学,2,49457
21材料成型及控制工程,A299江苏大学,2,49826
0N材料类,A011北京工商大学,5,49852
12无机非金属材料工程,A332苏州科技大学,2,50588
1E高分子材料与工程,A346杭州师范大学,6,51738
0Q材料成型及控制工程,A143沈阳航空航天大学,2,51936
5J高分子材料与工程,A755新疆大学,5,52448
0M材料类,A490武汉工程大学,3,52678
0F材料类,A488武汉科技大学,18,52705
58新能源材料与器件,A743青海大学,8,52865
12材料成型及控制工程,A150大连交通大学,2,53077
1H材料科学与工程,A755新疆大学,2,53274
08材料物理(无损检测与表面工程),A059中国民航大学,5,53345
40高分子材料与工程,A704西安科技大学,2,53673
38材料科学与工程,A704西安科技大学,2,54542
41新能源材料与器件,A704西安科技大学,2,54547
25材料成型及控制工程,A703西安建筑科技大学,3,55378
23材料类,A618重庆交通大学,3,55728
38材料类,A394福建师范大学,3,56543
08高分子材料与工程,A214哈尔滨理工大学,4,57424
0M高分子材料与工程,C599湘潭大学兴湘学院,1,57627
E3材料化学,A292常州大学,2,58101
39无机非金属材料工程,A704西安科技大学,2,58350
43高分子材料与工程,A304南通大学,3,58602
29材料类,A703西安建筑科技大学,8,59527
04材料科学与工程,A759石河子大学,6,59899
72材料科学与工程,A674昆明理工大学,3,59929
11材料类(地方专项计划),B065青岛大学,10,61833
32材料科学与工程,A351温州大学,2,61981
E0高分子材料与工程,A292常州大学,5,62341
64非织造材料与工程,A304南通大学,2,62367
4P高分子材料与工程,A341浙江农林大学,2,62415
27金属材料工程,A703西安建筑科技大学,3,62969
03高分子材料与工程,A406南昌航空大学,2,63144
02材料成型及控制工程,C044上海第二工业大学,2,63372
1M新能源材料与器件,A424山东科技大学,47,64236
43材料化学,A370安徽师范大学,2,64284
71材料成型及控制工程,A674昆明理工大学,3,64497
39材料化学,A214哈尔滨理工大学,8,64787
5B材料类,B660重庆理工大学,4,65077
30材料科学与工程,B799重庆工商大学,2,65631
5L材料成型及控制工程,B660重庆理工大学,3,66078
5R材料成型及控制工程,A743青海大学,6,66135
69材料科学与工程,A743青海大学,8,66142
42材料类,A637重庆师范大学,2,66192
23材料类,A708陕西科技大学,2,66714
68高分子材料与工程,A081华北理工大学,3,66994
07无机非金属材料工程,A214哈尔滨理工大学,3,67362
29材料类,B065青岛大学,143,67859
17材料成型及控制工程,A110中北大学,4,68697
E1材料科学与工程,A292常州大学,2,69098
06材料化学,A406南昌航空大学,3,69120
44新能源材料与器件,A705西安石油大学,2,69680
41材料化学,A212黑龙江大学,2,70461
32材料类,A702西安工业大学,4,71866
0W复合材料与工程,A143沈阳航空航天大学,2,72009
E2金属材料工程,A292常州大学,2,73017
10高分子材料与工程,A153沈阳建筑大学,1,73771
1Q新能源材料与器件,A426青岛科技大学,60,73954
28高分子材料与工程,A424山东科技大学,85,74775
06金属材料工程,A214哈尔滨理工大学,4,75019
AT智能材料与结构,A534湖南科技大学,2,75247
74功能材料,A674昆明理工大学,3,75605
G5新能源材料与器件,A186长春理工大学,6,75670
67材料化学,A081华北理工大学,4,75970
04复合材料与工程,A406南昌航空大学,2,75992
0B材料成型及控制工程,A406南昌航空大学,6,76792
0B材料成型及控制工程(智能成型与增材制造方向),A490武汉工程大学,3,78073
01无机非金属材料工程,A406南昌航空大学,2,78165
0G材料科学与工程(中外合作办学),F409深圳北理莫斯科大学,3,79148
2Z材料物理,A426青岛科技大学,10,79155
2V材料化学,A426青岛科技大学,27,79612
23材料类,A524中南民族大学,6,80722
1J材料成型及控制工程,A426青岛科技大学,13,80950
04高分子材料与工程(招收合成方向),A426青岛科技大学,48,81183
73宝石及材料工艺学,A674昆明理工大学,2,82858
14无机非金属材料工程,A144沈阳理工大学,1,84018
0Z材料成型及控制工程,A404华东交通大学,7,84414
2Q金属材料工程,A424山东科技大学,32,84748
41材料类,B075三峡大学,10,85267
02金属材料工程,A406南昌航空大学,5,85921
05复合材料与工程,A426青岛科技大学,15,86030
27高分子材料与工程(招收橡胶工程方向),A426青岛科技大学,127,86110
90材料成型及控制工程,A534湖南科技大学,2,86344
06材料成型及控制工程,B276南京工程学院,4,86749
0G材料类,A107石家庄铁道大学,11,86927
12材料化学,A153沈阳建筑大学,1,87306
2R高分子材料与工程(招收塑料工程方向),A426青岛科技大学,28,88180
27材料类,A709西安工程大学,3,88254
C1高分子材料与工程,A360安徽工业大学,2,88261
72材料类,B276南京工程学院,2,89049
53材料物理,A736西北师范大学,1,89400
B1材料成型及控制工程,A142沈阳工业大学,5,89417
41材料类,A595桂林电子科技大学,5,89597
19金属材料工程,A426青岛科技大学,18,89667
B4功能材料,A142沈阳工业大学,3,89694
43材料类,A705西安石油大学,3,89945
G2材料化学,A186长春理工大学,9,89969
0X功能材料,A426青岛科技大学,15,89970
0T无机非金属材料工程,A426青岛科技大学,20,90366
42材料成型及控制工程,A705西安石油大学,2,90483
