专业代号及名称,院校代号及名称,投档计划数,投档最低位次
D8能源与动力工程,A158大连海洋大学,2,87895
30新能源科学与工程,A460河南理工大学,2,88411
14能源化学工程,A619西南科技大学,4,88677
08新能源科学与工程,A017北京石油化工学院,4,88991
17能源化学工程,A081华北理工大学,8,89011
06建筑环境与能源应用工程,A732兰州交通大学,2,89174
09建筑环境与能源应用工程,A792天津城建大学,2,89734
07能源与动力工程,A460河南理工大学,2,90653
29特种能源技术与工程,A144沈阳理工大学,1,91083
C7建筑环境与能源应用工程,A158大连海洋大学,2,92418
21能源与动力工程,B632沈阳工程学院,2,95038
0C建筑环境与能源应用工程,A429青岛理工大学,39,97033
09建筑环境与能源应用工程,A069天津商业大学,9,97381
1X能源与动力工程,A431齐鲁工业大学,105,97709
41能源与动力工程,A220东北石油大学,2,97827
15生物质能源与材料,A152大连工业大学,3,97876
28新能源材料与器件,B535湖南工业大学,2,98840
20新能源科学与工程(济南走读),Y016济南大学,10,98952
1C新能源材料与器件,A446曲阜师范大学,9,100891
09新能源材料与器件,B062厦门理工学院,3,100991
06车辆工程(新能源汽车方向),A109太原科技大学,4,102100
32建筑环境与能源应用工程,B258大连大学,6,103412
0L能源与动力工程,A076河北工程大学,2,103724
47建筑环境与能源应用工程,A595桂林电子科技大学,2,104135
26建筑环境与能源应用工程,A463河南工业大学,2,104390
0M能源化学工程,B819东莞理工学院,2,105405
18建筑环境与能源应用工程,A361安徽理工大学,4,105464
25新能源科学与工程,A076河北工程大学,4,106808
1L能源化学工程,A361安徽理工大学,6,107084
07能源与动力工程,A017北京石油化工学院,8,107125
0N能源与动力工程,B819东莞理工学院,2,110483
21建筑环境与能源应用工程,A081华北理工大学,5,111266
32新能源科学与工程,A462郑州轻工业大学,3,111673
0F建筑环境与能源应用工程,A878安徽建筑大学,2,111693
C1能源与动力工程,A149沈阳化工大学,1,111731
0G能源与动力工程,B066烟台大学,60,111853
D5建筑环境与能源应用工程,A360安徽工业大学,2,113004
39新能源材料与器件(地方专项计划),A446曲阜师范大学,10,113211
30能源与动力工程,A462郑州轻工业大学,5,114611
2R新能源科学与工程,A433山东理工大学,80,115571
18建筑环境与能源应用工程,A731兰州理工大学,2,115715
G5新能源科学与工程,A333常熟理工学院,2,118141
0W能源化学工程,A109太原科技大学,2,119583
1F建筑环境与能源应用工程(地方专项计划),A429青岛理工大学,30,120397
43建筑环境与能源应用工程,A154辽宁工业大学,1,121264
1D新能源汽车工程,A433山东理工大学,80,122962
38能源与动力工程,A451鲁东大学,62,127027
1F能源与动力工程,A433山东理工大学,80,129251
14新能源科学与工程,A430山东建筑大学,52,129788
0P能源与动力工程,A430山东建筑大学,81,131014
05能源与动力工程(地方专项计划),A433山东理工大学,10,131063
