专业代号及名称,院校代号及名称,投档计划数,投档最低位次
07电子信息类,A856上海工程技术大学,8,35815
0N电子商务及法律,B835上海政法学院,2,35896
01化学工程与工艺(智能化工、精细化学品、电子化学品材料方向),A490武汉工程大学,2,35948
58电子信息科学与技术(中外合作办学),A697西北大学,10,36477
0Y电子商务,A327南京财经大学,4,36945
16电子信息类,A385华侨大学,7,37002
94电子信息工程(中外合作办学),A386福州大学,4,37213
0P电子商务,A616成都理工大学,4,37283
J1机械电子工程,B845广东工业大学,3,37507
0R电子信息科学与技术(中外合作办学)(中英合作),A252上海理工大学,3,37545
23电子信息工程,A704西安科技大学,2,37905
Z1电子信息工程(中外合作办学),A151大连海事大学,11,37914
1E光电信息科学与工程(含微电子、光器件方向),A490武汉工程大学,4,38107
48微电子科学与工程,A057天津科技大学,4,38416
G1机械电子工程,A060天津理工大学,7,38436
45电子信息工程,A390集美大学,3,38970
24电子科学与技术,A704西安科技大学,2,39317
02电子信息工程,A621成都信息工程大学,3,39448
26电子信息工程,A150大连交通大学,2,39600
0D电子信息工程(含集成电路设计、模式识别与智能系统方向),A490武汉工程大学,3,39638
50电子信息科学与技术,A351温州大学,1,39680
17电子信息工程,A144沈阳理工大学,1,39731
06电子信息类,A289江苏科技大学,10,39987
24电子信息工程,A534湖南科技大学,1,40746
DF电子商务(中外合作办学),A590深圳大学,3,40799
52机械电子工程,A108山西大学,3,40830
0X电子科学与技术,A406南昌航空大学,2,41253
19电子信息类,A618重庆交通大学,3,41933
3V电子信息类,A445山东师范大学,25,42313
1R电子信息工程,A346杭州师范大学,2,42578
15电子科学与技术,A150大连交通大学,2,42735
2S电子信息工程,B065青岛大学,73,42758
12电子商务类,B482浙江财经大学,2,42974
18电子商务类,A617重庆邮电大学,3,43197
07机械电子工程(半导体芯片方向),A490武汉工程大学,2,43447
0K机械电子工程,A143沈阳航空航天大学,1,43519
47机械电子工程,A304南通大学,2,43529
28电子信息工程(地方专项计划),B065青岛大学,5,44456
0C电子信息工程,A759石河子大学,4,44522
13机械电子工程,A704西安科技大学,2,44862
1U电子信息工程(中外合作办学),A291南京工业大学,3,44973
0L电子商务类,A011北京工商大学,5,45002
1R工科试验班(电子信息与电气自动化),A059中国民航大学,51,45801
1F电子信息工程,A424山东科技大学,102,47028
18微电子科学与工程,B065青岛大学,83,47196
36机械电子工程,A705西安石油大学,2,47254
EG电子信息类,A212黑龙江大学,2,47825
0E电子信息工程,A406南昌航空大学,4,47936
0U电子商务(国家级一流本科专业),A490武汉工程大学,2,47984
5F电子信息类,B660重庆理工大学,4,48036
13电子信息工程,A320江苏师范大学,3,48278
A2电子科学与技术,A186长春理工大学,2,48297
5M电子信息工程,A341浙江农林大学,2,49009
0K电子信息科学与技术,A424山东科技大学,50,49045
06电子信息类,A595桂林电子科技大学,7,49264
0F电子信息工程,B417北京联合大学,1,49414
0L电子商务,B047上海立信会计金融学院,2,49560
2E电子信息类(地方专项计划),A445山东师范大学,12,49659
7M电子信息工程(中外合作办学)(中美合作),A270上海师范大学,7,50179
D2电子信息工程,A186长春理工大学,2,50254
25电子商务,A346杭州师范大学,6,50277
0E电子信息工程,A404华东交通大学,5,50553
18电子商务(商务大数据分析),A421江西财经大学,3,51286
61电子商务类,A353浙江工商大学,10,51401
55机械电子工程,A390集美大学,2,51451
08电子科学与技术,A595桂林电子科技大学,2,51456
31电子信息工程,A705西安石油大学,2,51640
22电子信息类(教育部卓越工程师、省支柱产业人才培养计划),A489长江大学,4,51743
22电子信息工程,B799重庆工商大学,3,51955
28电子封装技术,A856上海工程技术大学,4,52165
42电子信息科学与技术,A534湖南科技大学,1,52880
32电子信息类(中外合作办学),F302西交利物浦大学,37,52966
0J电子信息类,A107石家庄铁道大学,3,53100
A3微电子科学与工程,A186长春理工大学,4,53848
1A电子商务,A621成都信息工程大学,2,54001
D4电子信息科学与技术,A186长春理工大学,2,55027
29机械电子工程,A406南昌航空大学,4,55257
28电子信息工程(中外合作办学),A617重庆邮电大学,12,55721
0Z电子信息类,A636四川师范大学,2,56007
1S机械电子工程(中外合作办学),A254上海海事大学,6,56348
11电子科学与技术,A702西安工业大学,2,56440
38电子信息类,A370安徽师范大学,4,56671
94电子信息科学与技术,Y000哈尔滨理工大学,20,56720
18电子商务,A037北京物资学院,1,56736
20电子信息类,A110中北大学,28,56850
02电子封装技术,A595桂林电子科技大学,2,56934
02电子信息类,A619西南科技大学,5,57017
1C电子信息科学与技术,A426青岛科技大学,40,57873
66电子信息工程(中外合作办学),B664西安邮电大学,8,59099
1M电子信息类,A094河北师范大学,5,59651
W3电子商务,A704西安科技大学,2,60100
15电子信息类,A496武汉轻工大学,4,60386
H3电子科学与技术(中外合作办学),A700西安理工大学,3,60759
05机械电子工程,A702西安工业大学,3,60793
29电子商务,E275浙江外国语学院,2,61118
07机械电子工程,A424山东科技大学,141,61147
91机械电子工程,A188东北电力大学,5,62305
D3电子科学与技术,A142沈阳工业大学,3,62545
2Q电子信息类,A414江西师范大学,2,62649
17电子信息类,A524中南民族大学,12,62775
93电子信息工程,A081华北理工大学,3,62993
0T电子信息工程,A429青岛理工大学,50,63647
24电子信息工程,B258大连大学,3,63842
25电子信息类,A538中南林业科技大学,2,63978
17机械电子工程,A534湖南科技大学,3,64257
0L微电子科学与工程,A426青岛科技大学,30,64280
46电子信息工程,B048金陵科技学院,1,64682
B8电子信息类,A792天津城建大学,1,64973
75电子科学与技术,A081华北理工大学,3,65194
B4电子科学与技术,A216燕山大学,4,65697
08机械电子工程,A404华东交通大学,5,65796
29电子信息类,A656西南民族大学,8,66143
12电子商务(商务运营),A406南昌航空大学,2,66407
3B电子信息类,A427济南大学,54,66581
C2机械电子工程,A186长春理工大学,5,67504
0U电子信息类(地方专项计划),A427济南大学,10,67557
36电子信息类,A464河南科技大学,6,67862
20机械电子工程,A146辽宁科技大学,1,67946
1L电子商务类,A456山东财经大学,30,68194
31微电子科学与工程,A709西安工程大学,3,68257
23电子信息类,A378安徽财经大学,5,68813
F3电子信息工程,A360安徽工业大学,3,69371
46电子信息工程,A078华北水利水电大学,5,69642
F4电子信息工程,A158大连海洋大学,2,69861
05电子信息类,A555南华大学,4,70374
0S电子商务,A623西华大学,3,71430
08电子商务,A463河南工业大学,2,72247
G1电子信息类,A407江西理工大学,3,72296
09机械电子工程,A153沈阳建筑大学,1,73063
82电子商务,A534湖南科技大学,2,73193
90电子信息工程,A554湖南工商大学,3,74823
EA电子信息类,A082河北科技大学,8,75257
90电子信息类,B535湖南工业大学,6,75291
54电子科学与技术,A732兰州交通大学,2,75294
14电子商务,A378安徽财经大学,2,75307
51电子商务,A373淮北师范大学,1,75415
H2微电子科学与工程,A360安徽工业大学,2,75562
05电子信息类,D021浙大城市学院,5,75844
25电子商务,B540广东金融学院,1,76236
M3电子信息工程(中外合作办学),A292常州大学,2,76483
0J电子与计算机工程(中外合作办学),F409深圳北理莫斯科大学,9,76867
41电子信息工程(中外合作办学),A512湖北大学,12,77065
L1电子信息科学与技术,A407江西理工大学,2,77560
04电子信息类,A460河南理工大学,3,77752
1K电子信息类(济南走读),Y016济南大学,10,77890
0N电子信息工程,A076河北工程大学,2,77994
26电子商务(数字商务创新实验班),A346杭州师范大学,4,78112
0Z电子信息科学与技术,A731兰州理工大学,2,78198
1A电子信息工程,A118山西师范大学,2,78545
12电子信息类,A364安徽农业大学,2,78848
57电子商务,A705西安石油大学,2,79168
08机械电子工程,A144沈阳理工大学,1,79906
45电子科学与技术(演艺工程与舞台技术),B647浙江传媒学院,3,80300
01电子信息工程,A431齐鲁工业大学,69,80740
18电子信息工程,B458上海电机学院,2,81378
1Y电子信息类,A681云南师范大学,4,81446
0E电子信息工程,A109太原科技大学,2,81821
0Y微电子科学与工程,A731兰州理工大学,2,83002
F2电子科学与技术,A407江西理工大学,2,83181
53电子信息工程,A537湖南农业大学,2,83785
36电子商务,B658海南师范大学,2,84252
0U电子信息工程,A878安徽建筑大学,2,85443
A3电子科学与技术(中外合作办学),A216燕山大学,10,85746
1S跨境电子商务,A207吉林财经大学,3,87128
29电子商务,A595桂林电子科技大学,3,87542
2D电子商务,A361安徽理工大学,8,87544
02机械电子工程,A190长春工业大学,1,87892
1R电子信息科学与技术,B066烟台大学,119,89260
1P电子信息工程,A446曲阜师范大学,29,89289
11电子信息工程,A220东北石油大学,6,89454
91电子信息工程,B349五邑大学,2,89735
64电子信息工程(中外合作办学),A595桂林电子科技大学,8,89893
E3机械电子工程,A407江西理工大学,2,90247
0A电子信息工程(航空电子设备维修),A624中国民用航空飞行学院,6,90273
23电子商务,A125山西财经大学,2,90419
2Q微电子科学与工程,A431齐鲁工业大学,40,90819
42电子信息工程,C026大连民族大学,2,90988
08机械电子工程,D021浙大城市学院,10,96632
84电子科学与技术,A602广西师范大学,2,98260
06电子信息工程,A462郑州轻工业大学,3,98398
05电子商务,B654武汉商学院,2,98862
Z5电子信息工程(中外合作办学),A394福建师范大学,7,99941
39电子信息工程,A240哈尔滨商业大学,3,100437
10电子科学与技术,A220东北石油大学,5,100552
34电子信息工程,A190长春工业大学,5,101425
C5电子科学与技术,A149沈阳化工大学,2,101919
02机械电子工程,A109太原科技大学,4,102007
4C机械电子工程(中外合作办学)(中德合作),B458上海电机学院,5,102333
2P电子信息工程,A433山东理工大学,140,103304
31电子信息工程,B600湖北经济学院,4,103352
20电子信息工程,A154辽宁工业大学,2,103861
21电子信息科学与技术,B658海南师范大学,5,104507
27电子信息工程,A354嘉兴学院,3,105324
83微电子科学与工程(师范类),A066天津职业技术师范大学,5,105916
24电子信息类,A596桂林理工大学,4,107087
68微电子科学与工程,A462郑州轻工业大学,3,107436
81电子科学与技术,A066天津职业技术师范大学,3,107499
15电子商务,A555南华大学,8,108745
GC电子信息工程,A719延安大学,2,109029
64电子商务,B535湖南工业大学,4,109889
43电子信息科学与技术,A466河南农业大学,4,110180
02机械电子工程,B463江苏理工学院,2,110343
26微电子科学与工程,A433山东理工大学,40,110476
2C电子信息工程(中外合作办学),A320江苏师范大学,4,111825
C4电子信息工程,A149沈阳化工大学,2,112436
